Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0.95,0.6,43.70157306075888,0.25745952888213525,-18.96093347421546,169.74152500980233,2.304821812712315,391.2239693656453
0.955,0.6,43.654474127964214,0.2598842855050751,-21.549466601742683,167.97658251295735,2.025779799321526,340.28356761381445
0.955,0.5,40.24979448423445,0.24231915552141547,-23.9725744758731,166.1024048950075,1.6789934066006702,278.8848426392325
0.975,0.6,43.63942862185948,0.2761951027831243,-24.984557637219496,158.00218100219652,1.746656044726196,275.9754645274091
0.945,0.6,37.95292355789122,0.2523894373691642,-21.488899490427382,150.37445288321774,1.7661641339426448,265.5859653435873
0.94,0.6,37.616366988916795,0.25058888103735394,-21.45975357024281,150.1118758070895,1.7528797274297487,263.1280639486993
0.97,0.5,39.14441995990081,0.2535412825344841,-23.48063630060032,154.39071526577445,1.6670936621466268,257.38378291385703
0.95,0.7,43.38292843545872,0.27075313517440114,-27.204786029859985,160.2305672564579,1.594680009166093,255.51648246121658
0.975,0.7,44.576335461576576,0.2893175777898385,-27.204786029859974,154.07406560674653,1.638547548679471,252.4576825150145
0.95,0.5,39.30071507187343,0.24014432027020916,-26.280592488573497,163.65456833479328,1.495427284942717,244.73350679337227
0.955,0.7,42.497013186080544,0.2737653665226936,-27.204786029860063,155.2315171413685,1.5621153255693936,242.48953193791976
0.975,0.5,39.85913754061718,0.256904166814567,-25.69544524287437,155.15177521191177,1.5512141223421907,240.67362481517858
0.955,0.3,29.18263601739488,0.20673889919761274,-17.12897919300268,141.15696722125074,1.7036996594237332,240.48907698013195
0.97,0.6,41.706785530350786,0.2723998679200204,-26.685410019896782,153.1086848492759,1.5629059287173772,239.29447128905377
0.975,0.3,30.285118932405375,0.2170879313953246,-17.739355162235782,139.50623020703594,1.7072277236366231,238.1689038294847
0.96,0.6,39.71932692316238,0.26537733830970367,-25.32334704513962,149.67113309731323,1.5684864584591245,234.75714548536908
1.04,2.0,53.442483838003454,0.38776412056617804,-31.938468548121868,137.82214754673944,1.6732951286465525,230.61712810956553
1.04,1.9,53.53104794063304,0.3857884506887067,-32.23459922165145,138.75751812961173,1.6606704979498275,230.43051672658453
0.95,1.0,45.128038477621814,0.30637421562763223,-29.48605268712964,147.29711632283872,1.5304876158387841,225.43641238086948
