Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0.955,0.3,29.1826085424179,0.20889360436682272,-17.2314763690707,139.7008234448981,1.6935640288372882,236.59228938522833
0.975,0.3,29.67753140466214,0.21906881996938926,-18.26949357611629,135.471270666492,1.6244309827755476,220.0637293466218
1.04,0.3,34.51678177111499,0.2367331945093557,-24.33794069951748,145.80457059540456,1.4182293480483055,206.78432109798374
0.955,0.6,38.96238664314575,0.2659672949827902,-27.747173093065246,146.4931492635847,1.4041930149952278,205.70465694057896
0.98,0.3,28.881577089436327,0.2182182914084207,-18.713478352163914,132.35176988615095,1.5433569615397895,204.26602542590334
1.045,0.3,34.06739669270487,0.23684959126887922,-24.33794069951748,143.8355730748569,1.399764964230531,201.335995800205
0.96,0.3,27.77599139327631,0.21005761392942593,-18.27966507021449,132.23034801589407,1.5195022056796574,200.92430546793975
0.975,0.7,40.042442082152284,0.29071666125996753,-27.603489761277423,137.73700450675284,1.4506297003911586,199.80538958040654
0.97,0.3,28.568111913510673,0.21521229627598687,-19.37369209734242,132.7438645832537,1.4745827367324318,195.74181112161355
0.95,0.6,37.61728466609857,0.26316694403024704,-27.747171692821837,142.9407663820234,1.355716001708027,193.78708428051794
0.975,0.6,38.560184332111724,0.2802203721685415,-27.76697040486653,137.606641636031,1.388706933809154,191.09529737814765
0.955,0.7,38.632180806845604,0.277210013869947,-28.293543341519257,139.36069721121217,1.3654062462425818,190.28396645291025
0.95,0.7,37.93584419611409,0.2740082481468455,-28.293541948443192,138.44781846049997,1.3407951632652146,185.63016535645886
0.94,0.6,32.52651739909229,0.2515292122835486,-22.701488115190806,129.3150688295608,1.4327923012820918,185.28163505875852
1.035,0.3,32.25172267652672,0.23406803018323794,-24.33794069951748,137.7878160092122,1.325162349383411,182.5912259791768
0.955,1.1,44.0123224722105,0.316561920212026,-34.17950565619145,139.03227034613653,1.2876816568070486,179.02930422895858
0.945,0.6,33.09525436991532,0.25399758516394033,-24.231051214540887,130.29751581517715,1.3658200000029335,177.96295305106747
0.965,0.3,26.452159014591835,0.2118252772916033,-18.57371902431071,124.87725427677461,1.4241713778467964,177.84661128507884
0.95,1.1,43.251638076345046,0.31210133015393715,-34.179504366173596,138.58203697822154,1.2654261341235207,175.36533131231366
0.985,0.3,27.901342261564665,0.21894328864781032,-20.504504117528043,127.43638973308036,1.3607421131298425,173.40806225502993
0.98,0.7,37.485309814604136,0.294663607381604,-27.603489761277466,127.21391062744574,1.3579916937600047,172.75543396279892
1.03,0.3,31.114406869582023,0.2321483919696431,-24.33794069951748,134.02809558831964,1.2784321916849315,171.34583199033298
0.975,1.1,45.01044569559078,0.3330590175234555,-35.54852932840833,135.14255230282407,1.2661689961846336,171.1133097910961
0.95,0.3,26.39691445457908,0.20615174309070153,-19.96054862060429,128.04604054676904,1.3224543551538883,169.33504398128608
