Date,Open,High,Low,Close,Adj Close,Volume
1/30/2009,102512.6406,107560.9609,102144,107089.9219,107089.9219,200
2/2/2009,110694.3984,110694.3984,106434.5625,106752,106752,300
2/3/2009,106639.3594,106639.3594,101693.4375,101754.8828,101754.8828,100
2/4/2009,100608,102799.3594,99328,102133.7578,102133.7578,100
2/5/2009,104038.3984,106280.9609,100505.6016,101509.1172,101509.1172,200
2/6/2009,101376,101396.4766,97341.4375,100044.7969,100044.7969,100
2/9/2009,100689.9219,102727.6797,100218.8828,101713.9219,101713.9219,100
2/10/2009,103424,108195.8438,101150.7188,107110.3984,107110.3984,200
2/11/2009,106547.2031,107345.9219,104550.3984,105543.6797,105543.6797,0
2/12/2009,107776,110592,105226.2422,105226.2422,105226.2422,0
2/13/2009,105717.7578,105717.7578,103424,104437.7578,104437.7578,100
2/17/2009,109568,113438.7188,108544,109660.1563,109660.1563,0
2/18/2009,107520,112312.3203,107520,110817.2813,110817.2813,0
2/19/2009,110622.7188,111667.2031,108021.7578,110878.7188,110878.7188,0
2/20/2009,114575.3594,119193.6016,114114.5625,116039.6797,116039.6797,100
2/23/2009,113664,122388.4766,113664,122245.1172,122245.1172,0
2/24/2009,122880,122880,110284.7969,110673.9219,110673.9219,100
2/25/2009,111892.4766,115752.9609,107663.3594,110028.7969,110028.7969,100
2/26/2009,108523.5234,112035.8438,105431.0391,111124.4766,111124.4766,0
2/27/2009,116439.0391,116439.0391,108503.0391,111278.0781,111278.0781,100
3/2/2009,113684.4766,120852.4766,113684.4766,119183.3594,119183.3594,100
3/3/2009,115763.2031,121395.2031,115763.2031,118681.6016,118681.6016,100
3/4/2009,117749.7578,117749.7578,107304.9609,110397.4375,110397.4375,100
3/5/2009,113254.3984,117749.7578,111114.2422,117043.2031,117043.2031,100
3/6/2009,117739.5234,118384.6406,113356.7969,116101.1172,116101.1172,200
3/9/2009,116275.2031,117248,112906.2422,116551.6797,116551.6797,100
3/10/2009,115712,115712,107171.8438,107868.1563,107868.1563,100
3/11/2009,106496,108748.7969,104611.8438,107069.4375,107069.4375,300
3/12/2009,106854.3984,108236.7969,104376.3203,105205.7578,105205.7578,400
3/13/2009,104652.7969,108021.7578,104417.2813,106752,106752,400
3/16/2009,106496,110612.4766,106096.6406,110510.0781,110510.0781,500
3/17/2009,111595.5234,111923.2031,106465.2813,106680.3203,106680.3203,500
3/18/2009,107622.3984,108656.6406,104550.3984,106946.5625,106946.5625,600
3/19/2009,107417.6016,111964.1563,104448,111964.1563,111964.1563,500
3/20/2009,111124.4766,119664.6406,111104,118743.0391,118743.0391,700
3/23/2009,115712,117504,110909.4375,111226.8828,111226.8828,600
3/24/2009,112138.2422,113592.3203,109086.7188,113049.6016,113049.6016,500
3/25/2009,110643.2031,114319.3594,107673.6016,111247.3594,111247.3594,600
3/26/2009,109250.5625,109260.7969,105656.3203,106864.6406,106864.6406,500
3/27/2009,106977.2813,109987.8438,106977.2813,109885.4375,109885.4375,400
3/30/2009,114688,119244.7969,113827.8438,118056.9609,118056.9609,700
3/31/2009,117145.6016,117739.5234,113971.2031,115927.0391,115927.0391,500
4/1/2009,119838.7188,121845.7578,113254.3984,113838.0781,113838.0781,600
4/2/2009,110592,113623.0391,109045.7578,111974.3984,111974.3984,700
4/3/2009,116787.2031,116787.2031,109404.1563,109998.0781,109998.0781,400
