Date,Open,High,Low,Close,Volume
2010-02-11,79.42,79.42,79.39,79.4,2700
2010-02-12,79.11,79.21,78.33,79.12,5800
2010-02-16,83.17,84.44,82.73,84.44,4200
2010-02-17,86.01,86.44,85.75,86.26,17339
2010-02-18,86.61,88.77,86.51,88.49,13450
2010-02-19,87.96,89.64,87.36,88.8,27196
2010-02-22,89.69,89.69,88.13,88.25,22790
2010-02-23,87.81,88.9,85.77,86.16,13392
2010-02-24,86.95,88.4,86.41,88.14,18820
2010-02-25,84.31,86.93,83.41,86.72,41410
2010-02-26,87.07,87.53,85.64,87.14,35402
2010-03-01,87.86,89.12,87.62,88.78,22448
2010-03-02,89.78,90.19,88.67,88.77,18395
2010-03-03,89.36,90.59,88.44,88.66,23683
2010-03-04,89.42,90.04,89.11,90.04,20522
2010-03-05,91.46,93.12,90.97,93.12,12832
2010-03-08,93.1,93.51,92.57,92.72,12724
2010-03-09,93.08,94.35,92.59,93.08,16705
2010-03-10,93.53,94.09,92.6,93.25,21816
2010-03-11,92.88,94.48,91.95,94.48,9730
2010-03-12,95.54,95.54,94.37,94.78,10817
2010-03-15,94.61,95.31,93.83,95.31,5123
2010-03-16,95.89,96.78,94.9,96.71,7904
2010-03-17,97.33,98.64,97.33,97.58,7032
2010-03-18,98.11,99.2,97.92,99.06,10070
2010-03-19,100.05,100.06,96.91,97.91,20090
2010-03-22,96.84,99.83,96.84,99.18,24000
2010-03-23,99.18,99.18,99.18,99.18,10400
2010-03-24,101.24,101.75,100.4,100.7,8830
2010-03-25,102.38,103.76,100.55,100.77,10115
2010-03-26,101.39,102.51,100.28,101.05,8473
2010-03-29,101.92,102.55,101.86,102.21,15034
2010-03-30,102.93,103.5,101.68,102.7,10020
2010-03-31,101.92,102.37,100.56,101.23,11590
2010-04-01,103.28,103.85,101.64,103.2,8302
2010-04-05,104.12,104.72,103.2,104.48,12208
2010-04-06,103.78,104.84,103.47,104.31,12348
2010-04-07,103.6,104.2,101.19,102.57,35590
2010-04-08,101.53,103.91,101.04,103.34,10401
2010-04-09,103.94,105.33,103.56,105.3,14910
2010-04-12,105.66,106.02,105.29,105.65,5300
2010-04-13,105.47,106.37,104.57,105.98,14860
2010-04-14,106.95,108.95,106.59,108.86,20074
2010-04-15,108.43,109.59,108.18,109.59,12086
2010-04-16,109.11,109.83,104.66,106.01,37243
2010-04-19,104.96,108.02,104.94,107.84,18788
2010-04-20,108.89,109.09,107.75,108.51,14747
2010-04-21,108.76,109.6,107.65,108.76,12808
2010-04-22,107.1,109.53,105.98,109.53,14936
2010-04-23,109.04,111.23,108.62,111.19,58630
2010-04-26,111.53,112.46,111.29,111.32,14653
2010-04-27,110.42,111.66,104.57,105.03,61352
2010-04-28,106.34,107.37,104.32,106.57,38616
2010-04-29,107.86,110.84,107.86,110.0,22401
2010-04-30,110.4,110.75,105.36,105.39,32095
2010-05-03,106.89,110.18,106.89,109.39,37972
2010-05-04,106.48,106.48,101.48,102.98,58118
2010-05-05,100.59,103.43,100.0,101.29,39293
2010-05-06,100.78,101.71,74.74,91.52,158900
2010-05-07,90.98,93.2,85.0,88.36,70996
2010-05-10,97.52,99.5,96.16,98.52,66454
2010-05-11,95.98,100.71,95.76,97.55,37449
2010-05-12,98.6,101.98,98.41,101.83,29044
2010-05-13,100.98,102.32,98.39,98.4,40370
2010-05-14,96.66,97.25,91.93,94.11,39213
2010-05-17,94.63,95.18,89.48,94.29,49012
2010-05-18,96.36,96.52,90.59,91.25,36162
