Date,Capital
2007-01-03,10000.0
2007-01-04,10000.0
2007-01-05,9931.126920936369
2007-01-08,9931.126920936369
2007-01-09,9930.57692093637
2007-01-10,9883.795108585968
2007-01-11,9883.795108585968
2007-01-12,9883.245108585968
2007-01-16,9915.630776651724
2007-01-17,10115.163637280328
2007-01-18,10060.644708087342
2007-01-19,10060.644708087342
2007-01-22,9959.372480736603
2007-01-23,9959.372480736603
2007-01-24,9959.372480736603
2007-01-25,9854.292887931279
2007-01-26,9750.97057937617
2007-01-29,9750.97057937617
2007-01-30,9750.97057937617
2007-01-31,9750.97057937617
2007-02-01,9750.97057937617
2007-02-02,9750.97057937617
2007-02-05,9750.97057937617
2007-02-06,9750.97057937617
2007-02-07,9750.97057937617
2007-02-08,9750.97057937617
2007-02-09,9687.646260882195
2007-02-12,9687.646260882195
2007-02-13,9687.646260882195
2007-02-14,9687.096260882196
2007-02-15,9870.472227367009
2007-02-16,9870.472227367009
2007-02-20,9870.472227367009
2007-02-21,9870.472227367009
2007-02-22,9789.855045446764
2007-02-23,9709.527743942008
2007-02-26,9624.801455963678
2007-02-27,9549.753084171434
2007-02-28,9549.753084171434
2007-03-01,9549.753084171434
2007-03-02,9549.753084171434
2007-03-05,9549.753084171434
2007-03-06,9549.753084171434
2007-03-07,9549.753084171434
2007-03-08,9549.753084171434
2007-03-09,9549.753084171434
2007-03-12,9549.753084171434
2007-03-13,9335.204039301374
2007-03-14,9335.204039301374
2007-03-15,9335.204039301374
2007-03-16,9335.204039301374
2007-03-19,9335.204039301374
2007-03-20,9335.204039301374
2007-03-21,9335.204039301374
2007-03-22,9335.204039301374
2007-03-23,9335.204039301374
2007-03-26,9335.204039301374
2007-03-27,9335.204039301374
2007-03-28,9335.204039301374
2007-03-29,9335.204039301374
2007-03-30,9335.204039301374
2007-04-02,9335.204039301374
2007-04-03,9335.204039301374
2007-04-04,9335.204039301374
2007-04-05,9335.204039301374
2007-04-09,9335.204039301374
2007-04-10,9335.204039301374
2007-04-11,9217.60981978035
2007-04-12,9217.60981978035
2007-04-13,9217.60981978035
2007-04-16,9217.05981978035
2007-04-17,9497.306731908748
2007-04-18,9497.306731908748
2007-04-19,9497.306731908748
2007-04-20,9497.306731908748
2007-04-23,9497.306731908748
2007-04-24,9497.306731908748
2007-04-25,9497.306731908748
2007-04-26,9497.306731908748
2007-04-27,9497.306731908748
2007-04-30,9497.306731908748
2007-05-01,9497.306731908748
2007-05-02,9497.306731908748
2007-05-03,9497.306731908748
2007-05-04,9497.306731908748
2007-05-07,9497.306731908748
2007-05-08,9497.306731908748
2007-05-09,9497.306731908748
2007-05-10,9497.306731908748
2007-05-11,9497.306731908748
2007-05-14,9497.306731908748
2007-05-15,9497.306731908748
2007-05-16,9497.306731908748
2007-05-17,9497.306731908748
2007-05-18,9497.306731908748
2007-05-21,9497.306731908748
2007-05-22,9496.756731908748
2007-05-23,9644.000501287024
2007-05-24,9644.000501287024
2007-05-25,9644.000501287024
2007-05-29,9644.000501287024
2007-05-30,9644.000501287024
2007-05-31,9644.000501287024
2007-06-01,9644.000501287024
2007-06-04,9644.000501287024
2007-06-05,9644.000501287024
2007-06-06,9644.000501287024
2007-06-07,9644.000501287024
2007-06-08,9644.000501287024
2007-06-11,9644.000501287024
2007-06-12,9644.000501287024
2007-06-13,9644.000501287024
2007-06-14,9644.000501287024
2007-06-15,9543.032858401668
2007-06-18,9543.032858401668
2007-06-19,9543.032858401668
2007-06-20,9425.005977453991
