Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
1.06,0.17,120.6401515330195,0.29140381777627955,-13.07638798186036,413.99646872725253,9.225800863386144,3819.4489786227014
0.94,1.37,123.22576175777948,0.29751167816604257,-13.752476834284245,414.18798252687964,8.960259540345762,3711.231821933037
0.94,1.38,122.95313868272521,0.297712052781473,-13.785204309599008,412.9934866055807,8.919210475328947,3683.5758319751208
0.94,1.39,122.68075066382278,0.29791358979064647,-13.868411491117772,411.79977976175746,8.846056431365298,3642.8040901963077
0.94,1.4,122.40859756986313,0.29811628683610686,-13.954560425078288,410.6068771652143,8.771942206784088,3601.819796201353
0.94,1.41,122.1366792696739,0.29832014155325404,-14.040667295010767,409.4147938980879,8.698780243377332,3561.4093205070894
0.94,1.24,119.71950695203448,0.303932346411283,-13.327019655192618,393.90182836949293,8.9832168068716,3538.505524866281
0.96,0.57,125.33936893921589,0.32165245929720543,-13.80616901993167,389.6732803258404,9.078504598796822,3537.650667466385
0.94,1.36,120.97221983943976,0.3028050870865381,-13.719749358969512,399.50524280613337,8.817378267945703,3522.588845849172
0.94,1.42,121.8649956321205,0.2985251515704606,-14.12673210091513,408.2235449543246,8.626552465323957,3521.5618281290144
0.94,1.25,119.29205592924185,0.30423305014491003,-13.35974713050735,392.10748428687003,8.929215108932352,3501.212073019775
0.94,1.43,121.59354652610533,0.2987313145091869,-14.212754842791476,407.03314523916765,8.555241251331088,3482.2667548091654
0.94,1.26,118.8652824968513,0.30453548555283805,-13.392474605822102,390.3166893049241,8.875527936052764,3464.2666798334812
0.94,0.21,84.55111154512383,0.23832354313984347,-8.690339319995777,354.77448191306445,9.729322231478173,3451.715254037929
0.96,0.63,120.77817686484838,0.3261837628473951,-13.007351635211894,370.2764840607789,9.285378011761644,3438.157123370367
0.94,1.27,118.43918581031532,0.30483964748101705,-13.425202081136845,388.52946717729935,8.822152925111567,3427.66637535025
0.975,0.21,97.04960146680199,0.2637080279868429,-10.43111042725352,368.0191392263722,9.303860997697717,3423.99891585453
0.96,0.55,121.56695220983966,0.31907671976416085,-13.586737285999973,380.9959946300483,8.947472056820036,3408.951015712714
0.94,1.28,118.01376502586875,0.30514553076658185,-13.457929556451564,386.7458413347769,8.769087736032503,3391.408214210365
0.97,0.21,95.01771794611354,0.2554658638309857,-10.43111042725352,371.93900007312345,9.109070276723301,3388.0184903202744
0.96,0.56,121.60817591431874,0.3210914268187915,-13.69649960724213,378.7337990277409,8.878777746251128,3362.693226560653
0.94,1.29,117.58901930052895,0.3054531302381879,-13.490657031766329,384.96583488548555,8.716330051504766,3355.4892754149796
1.05,0.17,111.99997581263092,0.2866308863771364,-13.076387981860371,390.7463610368432,8.565054506488934,3346.763880492766
0.94,1.32,117.37725237529784,0.30521483457961074,-13.588839457710545,384.5725668510445,8.6377687175262,3321.8488875647054
0.94,1.3,117.16494779209472,0.30576244071634473,-13.52338450708106,383.18947061515786,8.663877576707613,3319.9066620931267
1.07,0.17,117.22965418638242,0.291905880684666,-14.212328197635793,401.60086501655934,8.248448287725543,3312.583967394936
