Index,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
76,0.94,0.56,43.37038949,0.272631115,-27.0847312,159.0808501,1.601285579,254.7338712
77,0.945,2.08,54.02253904,0.362713628,-31.58914729,148.9399209,1.710161358,254.7112974
78,0.935,0.52,38.6455097,0.26155705,-22.43220814,147.7517417,1.722768862,254.5421
79,0.945,1.08,50.66822258,0.338079299,-29.83867382,149.8708226,1.698072203,254.4914778
80,0.93,0.62,40.65419824,0.274861818,-23.63611298,147.9077689,1.72000355,254.4018876
81,0.94,0.64,42.96165793,0.286855597,-25.34980713,149.7675427,1.694752852,253.8189701
82,0.945,2.04,53.86579804,0.362412489,-31.58914729,148.6311859,1.705199496,253.4458233
83,0.95,1.1,53.61744303,0.349651364,-32.57870844,153.3454423,1.645781727,252.3731268
84,0.945,2.1,53.75010968,0.36297954,-31.58914729,148.0802737,1.701537214,251.9640964
85,0.945,2.06,53.58114457,0.362685072,-31.58914729,147.7346292,1.69618838,250.5857613
86,0.945,2.12,53.59833483,0.363282854,-31.58914729,147.538851,1.696732563,250.3339727
87,0.95,1,51.15028383,0.340746467,-30.68077428,150.1124408,1.667177085,250.2640215
88,0.955,0.42,41.55841704,0.261538068,-26.38734097,158.9000692,1.57493766,250.2577031
89,0.945,0.98,48.95031013,0.329822355,-29.08539274,148.4141672,1.682986046,249.7789725
90,0.955,0.52,44.95487316,0.281589121,-28.74261303,159.6470527,1.564049626,249.695913
91,0.965,0.7,46.52081301,0.319518894,-27.13071732,145.5964387,1.714691597,249.6529899
92,0.935,0.64,42.40537486,0.282770969,-25.5251537,149.9636793,1.661317121,249.1372278
93,0.95,1.02,50.71132776,0.342509348,-30.20364715,148.0582297,1.678980274,248.586847
94,0.945,2.14,53.33887146,0.363539943,-31.58914729,146.7208004,1.688518876,247.740841
95,0.95,1.04,51.10259962,0.344213747,-30.64984491,148.4618206,1.667303693,247.5309418
96,0.955,0.72,46.57225209,0.313394683,-27.99187836,148.6057505,1.66377731,247.2468759
97,0.945,0.56,44.6131982,0.276266815,-29.33759903,161.4859103,1.520683344,245.5689341
98,0.945,2.48,53.2269659,0.365241622,-31.58914729,145.7308333,1.684976344,245.5530067
99,0.945,2.16,53.07969649,0.36379917,-31.58914729,145.9038417,1.680314318,245.1643142
100,0.945,2.5,53.13099062,0.365344617,-31.58914729,145.4270522,1.681938108,244.599301
101,0.945,2.18,52.97586094,0.364228569,-31.58914729,145.4467483,1.677027254,243.918161
102,0.94,0.66,43.05400439,0.288194,-26.39029308,149.3924384,1.631433355,243.723807
