Date,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0,0.91,4.7,63.03649730939427,0.19917849482359892,-12.133605998636677,316.48244638670513,5.195198963645021,1644.1892774800515
1,0.91,4.9,62.96069028819458,0.19916901682745392,-12.133605998636677,316.1168905238876,5.18895127262817,1640.3151413831865
2,0.91,1.5,60.421820078628265,0.1884779129235971,-12.603899293180787,320.5777225638175,4.793898988967556,1536.8172200842064
3,0.915,4.7,58.47754147684181,0.20519225550788958,-12.133605998636664,284.9890281292481,4.81946928913073,1373.495868808125
4,0.91,3.9,59.8609009855051,0.2006427954904028,-13.028476595462113,298.34562880364365,4.594620142032182,1370.7848353884779
5,0.915,4.9,58.40385423136609,0.2051828184680054,-12.133605998636664,284.6430060150145,4.813396300978321,1370.099592252021
6,0.91,1.7,59.2009466613169,0.1956285117037472,-13.327766852507661,302.61921509155417,4.44192544155873,1344.211990619708
7,0.915,1.5,56.758211797417026,0.19332794861939104,-12.603899293180776,293.5851344968138,4.503226380753894,1322.080322663232
8,0.91,4.1,59.51207126196076,0.20096607040894232,-13.332609607736245,296.12994442723937,4.4636476288504605,1321.8197242742656
9,0.91,4.5,60.23384250637349,0.2018842866867075,-13.940875632284545,298.35825013883766,4.320664217596405,1289.1058153995534
10,0.91,4.3,59.1631685760514,0.201312005642946,-13.63674262001039,293.88792976900373,4.338511785742446,1275.036246990271
11,0.905,1.3,50.11027777465007,0.1808260263918696,-11.876094368041679,277.1187244144583,4.219424014471945,1169.2814006541983
12,0.905,4.7,52.34124918696021,0.1947958645349465,-12.133605998636664,268.6979485520349,4.313742278498354,1159.0937008146884
13,0.905,4.9,52.27039498441117,0.1948518652690936,-12.133605998636664,268.2570932139906,4.307902777647823,1155.6254769802808
14,0.915,3.9,55.390743632480245,0.2066041880294919,-12.867600011125468,268.10077840519597,4.304667815644627,1154.084792150119
15,0.91,2.1,59.170729470862724,0.1992265158732276,-15.433502872061588,297.00228010067906,3.8339144367528,1138.6813294264923
16,0.915,1.7,54.74924772400629,0.2017354759261627,-13.327766852507661,271.3912735112841,4.107908573873727,1114.8505393315138
17,0.91,2.3,59.14393313215489,0.2009579104302746,-15.636239961169363,294.3100523165311,3.7824907573068347,1113.2250526697699
18,0.915,4.1,55.05166816176492,0.20691708579192714,-13.172295597578676,266.05665719226346,4.179352623386655,1111.9445882059701
19,0.905,1.5,50.39346084521097,0.1828192387601125,-12.603899293180787,275.64637719192723,3.998243692130724,1102.1013888663092
20,0.91,2.5,58.95794550983049,0.2021930554352114,-15.838977050277126,291.59233675422814,3.7223329084120955,1085.4037509410452
21,0.915,4.5,55.7532566645919,0.20781136856321578,-13.781686770485102,268.2878085547658,4.045459572045508,1085.34748318099
22,0.915,4.3,54.712521768916055,0.20725202619247696,-13.476991184031906,263.9902864838774,4.059698564894938,1071.7209871848006
23,0.91,1.3,56.828993865201525,0.18800355860832743,-16.06371915980779,302.27616054648627,3.5377233192292383,1069.3694220123855
24,0.91,2.7,58.285765379512824,0.2028107664465013,-16.041714139384887,287.3898974928819,3.6333876088972477,1044.1988924728873
25,0.905,1.1,46.547694270768346,0.17799930807404363,-11.711900162585032,261.50491692588815,3.974393021165783,1039.3233168307877
26,0.91,2.9,57.181502012759644,0.2037361629508929,-16.24445122849266,280.6644691082273,3.520063633326293,987.9567908747018
27,0.91,1.1,53.73721109145948,0.18373033075457434,-15.945593071634168,292.47871524947755,3.370035272444857,985.6635868300948
28,0.91,3.1,57.2611637362604,0.2039406540795802,-16.447188317600425,280.77365935051074,3.4815168787837263,977.5182341466754
29,0.905,3.9,49.37405174546339,0.19600210766088524,-12.76186500360479,251.9057184369075,3.8688743166862296,974.5915642869443
30,0.905,1.7,49.50073499077452,0.1900053658364985,-13.32776685250765,260.5228266730656,3.714105711675234,967.6093185682099
31,0.91,1.9,56.371806125002855,0.2017334352661391,-16.54468686457743,279.4371000059247,3.407245273749861,952.1107383055543
32,0.91,3.5,57.26876266874945,0.205395118803717,-16.852662495815974,278.82241312403124,3.3982026687455247,947.4950683841502
33,0.91,3.3,56.75290502445558,0.20452062920191583,-16.6499254067082,277.492325570862,3.4085981551358797,945.8598290052051
34,0.915,2.1,54.71984465717439,0.20522672630270855,-15.433502872061577,266.6311822197215,3.5455233404096953,945.3470798410531
35,0.905,4.1,49.04808561808438,0.19639646733017554,-13.066930336980887,249.74016225875533,3.7536042783723094,937.4257415358587
36,0.915,2.3,54.693782097978485,0.20690801638578693,-15.636239961169363,264.338632467483,3.4978858238172106,924.6263551952367
37,0.91,3.7,56.783621349682,0.20604231019603178,-17.055399584923737,275.5920436713081,3.3293632944182883,917.546034432975
38,0.905,4.5,49.72246923928134,0.197473761578867,-13.677061003733082,251.7927892887339,3.635464463140864,915.3837375343077
39,0.905,4.3,48.722051364681775,0.19681362767360458,-13.371995670356974,247.55425699221576,3.6435886284863797,901.9858757102322
40,0.915,2.5,54.51303730038637,0.20810738896638623,-15.838977050277103,261.94666883832457,3.4417018932060808,901.5423460598879
41,0.915,2.7,53.85965320346715,0.2087055504154595,-16.041714139384887,258.06526513670326,3.3574749391172216,866.4476603531224
42,0.905,0.9,43.70925498663097,0.17352208734528746,-12.931301355522784,251.8944743884677,3.3801126263261456,851.4316933822475
