,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
58,0.98,4.7,33.68355028,0.256154379,-29.23936272,131.4970701,1.151993311,151.4837452
59,0.98,4.9,33.66094374,0.256151189,-29.23936272,131.4104529,1.151220157,151.2823623
60,0.915,4.5,25.18672195,0.202109946,-21.08398844,124.6189141,1.19459001,148.8685098
61,0.93,3.3,25.70427763,0.216658494,-20.48964026,118.6396027,1.254501168,148.8335202
62,0.915,0.1,12.81876617,0.104130049,-10.61978459,123.1034302,1.207064612,148.5937942
63,0.905,2.9,22.63752905,0.192584925,-17.93452931,117.545696,1.262231568,148.3698881
64,0.92,4.7,24.74431908,0.20716873,-20.06892675,119.440415,1.232966734,147.2660585
65,0.94,4.1,26.71034757,0.22254205,-21.79025529,120.023823,1.225793237,147.1243906
66,0.92,4.9,24.72322421,0.207164524,-20.06892675,119.3410136,1.231915613,147.0180579
67,0.925,4.5,24.87029359,0.21018687,-20.06892685,118.3246775,1.239243821,146.6331254
68,1.005,4.7,34.40024651,0.26992247,-29.93889411,127.4449159,1.14901527,146.4361544
69,1.005,4.9,34.37751877,0.269919466,-29.93889411,127.3621326,1.148256133,146.2443498
70,0.945,4.5,28.48592891,0.226188299,-24.56011919,125.9390032,1.159844897,146.0697102
71,0.94,4.3,26.57343119,0.222723242,-21.79025529,119.3114422,1.219509861,145.5014803
72,0.93,1.1,22.5258307,0.197599282,-17.72306324,113.997533,1.270989693,144.8896895
73,0.93,2.9,25.60359478,0.216680856,-20.93354317,118.162699,1.223089401,144.5235447
74,0.895,4.7,21.7281718,0.175541077,-18.6995897,123.7782758,1.161959815,143.8253825
75,0.905,2.5,22.04526672,0.193916794,-17.44287572,113.6841544,1.263855059,143.6802937
76,0.935,2.1,24.59870176,0.220709542,-19.09053717,111.4528241,1.288528528,143.6101434
77,0.895,4.9,21.70758111,0.175563232,-18.6995897,123.6453716,1.160858685,143.5348035
78,0.98,4.5,32.83684428,0.256922912,-29.23936272,127.8081587,1.123035567,143.5331079
79,0.91,0.9,20.73152532,0.175607547,-17.17484306,118.056004,1.20708674,142.503837
80,0.935,2.3,24.64957787,0.221657008,-19.38214005,111.205949,1.271767607,141.4281236
81,0.91,1.7,24.50995767,0.194889053,-21.85864624,125.7636447,1.121293487,141.0179557
82,0.91,2.1,24.78836458,0.198673771,-21.95552488,124.7691852,1.12902628,140.867689
83,0.93,2.5,25.06217835,0.217798999,-20.48964026,115.0702182,1.223163415,140.749681
84,0.935,2.5,24.76747826,0.222544593,-19.67374293,111.2922043,1.258910333,140.106906
85,0.94,3.9,26.04996167,0.223150348,-21.79025529,116.7372669,1.195486759,139.5578568
86,0.93,2.3,24.87792347,0.217004503,-20.48964026,114.6424294,1.214170828,139.1954934
87,0.935,1.7,24.68926633,0.217151802,-20.17878585,113.695885,1.223525861,139.1098556
88,1.005,4.5,33.5490012,0.270652721,-29.93889411,123.9558987,1.120582513,138.9028125
89,0.935,1.1,22.81879783,0.200840533,-18.71375414,113.6164972,1.21935971,138.5393791
90,0.93,2.1,24.75939696,0.2161412,-20.48964026,114.5519545,1.208386123,138.4229922
91,0.91,2.3,25.00305696,0.199492495,-22.65324655,125.3333214,1.103729521,138.3340868
92,0.93,0.9,22.31947538,0.188642121,-19.13527477,118.3164992,1.16640475,138.0049266
93,0.92,4.5,23.96023211,0.208105501,-20.06892675,115.135025,1.193897033,137.4593648
94,0.915,4.1,23.96418614,0.202638594,-21.08398844,118.2607206,1.136605923,134.4158355
95,0.945,4.1,27.23117404,0.22666609,-24.56011919,120.1378383,1.108755777,133.2035223
96,0.915,4.3,23.83023712,0.202837035,-21.08398844,117.4846452,1.130252807,132.78735
97,1,4.7,33.60407275,0.267541096,-31.80568701,125.6034054,1.056542899,132.705386
98,1,4.9,33.58147964,0.267538048,-31.80568701,125.5203882,1.055832551,132.5285116
99,0.925,4.1,23.65084792,0.210695098,-20.06892685,112.2515339,1.178480947,132.286294
100,0.98,4.1,31.53959967,0.257349744,-29.23936272,122.5553958,1.078669189,132.1967294
101,0.935,0.9,23.19845165,0.191726804,-21.2890327,120.9974359,1.089690263,131.8497278
102,0.945,4.3,27.09369488,0.226844079,-24.56011919,119.4375228,1.103158119,131.7584729
103,0.94,2.7,25.37452112,0.224432875,-21.79025529,113.0606248,1.164489392,131.6578982
104,0.98,4.3,31.39746506,0.257507177,-29.23936272,121.9285046,1.073808118,130.9278181
105,0.925,4.3,23.51723747,0.210885942,-20.06892685,111.5163832,1.171823369,130.6775039
106,0.94,3.5,25.28233706,0.225052279,-21.79025529,112.33984,1.160258874,130.3432963
107,0.905,2.1,21.57542044,0.192243802,-18.66923046,112.2294722,1.155667369,129.6999389
108,0.94,3.7,25.22932797,0.225242,-21.79025529,112.0098739,1.157826177,129.6879641
109,0.94,3.1,25.11591989,0.224845522,-21.79025529,111.7030024,1.152621645,128.7512984
110,1.005,4.1,32.24480188,0.271059208,-29.93889411,118.9585186,1.077020473,128.1207599
111,1.005,4.3,32.10190527,0.271208821,-29.93889411,118.3660075,1.07224753,126.9176592
112,0.94,0.1,12.83944117,0.115463347,-11.249548,111.1992814,1.141329516,126.9150221
113,0.915,3.9,23.31811262,0.203303856,-21.08398844,114.69587,1.105963072,126.8493967
114,0.905,2.3,21.78456871,0.193122441,-19.39633177,112.8018506,1.123128279,126.6909483
115,0.945,3.9,26.56807372,0.227263795,-24.56011919,116.9041188,1.081756709,126.4618149
116,0.98,3.9,30.8540448,0.25787953,-29.23936272,119.6451876,1.055222889,126.2523406
117,0.935,1.5,23.17274831,0.214054797,-19.89035824,108.2561502,1.165024181,126.1210327
118,0.905,1.7,21.38327914,0.189048368,-19.21549854,113.1100966,1.112814174,125.8705187
119,0.93,1.7,24.41645381,0.212580058,-22.28436182,114.857687,1.095676601,125.8468801
120,1,4.5,32.75787013,0.26827723,-31.80568701,122.1045488,1.029937511,125.7600551
121,0.925,3.9,23.00640745,0.211334919,-20.06892685,108.86231,1.14636959,124.7964417
122,0.955,4.7,30.25072041,0.23463342,-31.26381234,128.9275858,0.967595381,124.7497365
123,0.955,4.9,30.22869437,0.234629848,-31.26381234,128.8356731,0.966890859,124.5700347
124,0.94,3.3,24.68942819,0.225510412,-21.79025529,109.4824311,1.133049056,124.0489652
