Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0.955,0.7,73.59424790071397,0.36242113567664613,-31.229508067165224,203.06279258054946,2.356561228644236,478.5299039755493
0.94,0.9,75.11659282181238,0.3568668857979009,-34.708474202991056,210.48910899609788,2.164214778860521,455.54364047853807
0.945,0.9,77.08822609717888,0.36359514586323066,-36.49794737885873,212.01665361664715,2.11212497231644,447.8056686506851
0.95,0.9,78.9789386794989,0.37421812336290244,-37.41195879028136,211.05054445187344,2.1110613085571863,445.54063854227854
0.955,0.9,80.35784181889454,0.3800839258602644,-38.452122879799774,211.42131079870404,2.0898154848326795,441.8315291307543
0.945,0.7,71.69669342096783,0.3442855148085027,-36.24425550192923,208.24777789691998,1.9781532943103637,411.9460278796052
0.935,0.9,70.78016031235035,0.3501406367426768,-35.91332715060786,202.14780258244537,1.970860567040287,398.40513282358626
0.95,0.7,73.5855941747176,0.35677948562113904,-38.3892692253603,206.24951024470474,1.9168271670591293,395.3446644296902
0.93,0.9,70.1249625277871,0.3467826608108049,-36.15017599609378,202.21588462303586,1.9398235442993275,392.2631340230813
0.91,1.1,59.03379905688999,0.33144731308345354,-27.255141936031468,178.10914955894106,2.1659692396922336,385.7789392524099
0.91,0.9,59.95446297323357,0.3225230488207539,-29.599527656191384,185.89202598836275,2.0255209363346984,376.5281905371026
0.94,1.1,70.04506865369599,0.3675628064766776,-36.02715172924745,190.56625811823116,1.9442299846543856,370.5046330968523
0.94,0.7,68.35423537454244,0.33828209907328843,-37.41458453166744,202.06282141974523,1.8269409170289705,369.1568362620505
0.96,0.7,69.37032949373992,0.3670264695178703,-35.81591502983065,189.00633947427684,1.936857663303093,366.078377023619
0.905,1.1,55.15240403761137,0.3248619562983978,-25.7171393252965,169.77181528437214,2.144577720717213,364.0888526645825
0.945,1.1,73.39049996132789,0.3741711073272073,-39.862575226098215,196.14154734066344,1.8410877758163198,361.1138051385934
0.945,1.3,69.51089605690942,0.37538045991854047,-36.34031214901909,185.17451886545626,1.9127765268462527,354.19747305589334
0.965,0.9,74.5700097896425,0.3910503049136665,-40.43147302043153,190.6916037467496,1.8443555037423318,351.7031088877695
0.93,0.7,63.25236099006284,0.3303946253976096,-35.23548311929036,191.4448847766289,1.7951325025378775,343.66893510714544
0.93,1.1,66.27639157979314,0.3558768662546157,-35.95847256866473,186.2340541471865,1.843137009038263,343.2548775419153
