Date,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0,0.94,0.98,50.09360925556332,0.25857964708671644,-23.862963942171966,193.7260330422065,2.099219919912593,406.67354756784505
1,0.94,1.02,50.578597777877235,0.2592801290923795,-24.270325763282585,195.07317415696158,2.083968640190037,406.5263774854375
2,0.94,1.04,50.13456894463262,0.2601674710699376,-24.57011745103551,192.701142608084,2.040469242548114,393.20075449567327
3,0.94,0.9,48.03051978021071,0.255172335806887,-23.01858646576449,188.22777017866053,2.0865972744089407,392.75555222286556
4,0.95,1.02,50.490535062355455,0.270264648210129,-24.074794521481802,186.81886586624304,2.0972363862670993,391.8033231358375
5,0.94,1.0,49.616562306757615,0.2600020786704645,-24.184629781087843,190.83140627365268,2.051574192198605,391.5047881719928
6,0.94,0.96,48.606040249486604,0.2581749035865099,-23.689124074225653,188.26787412045869,2.051829358366659,386.2935513576357
7,0.945,0.98,49.126759900554084,0.2637178040658575,-23.862963942171934,186.28533661036326,2.058703186226359,383.50621602700465
8,0.945,1.02,49.366189934331416,0.2645308932459286,-24.074794521481824,186.61786277051863,2.0505342170327645,382.6663131204733
9,0.94,0.94,48.01607877687688,0.25737928562328594,-23.46612878560056,186.5576658999504,2.0461866213885616,381.73180008195556
10,0.94,1.06,49.38587851404819,0.26048431510204895,-24.868881915260012,189.5925230457752,1.9858503764796955,376.50238326818805
11,0.975,0.14,33.17495937799026,0.17185083563578799,-17.170864392783468,193.04508619498134,1.9320494658342862,372.9726556649474
12,0.955,0.64,44.58271965413152,0.24947208309777516,-21.399105080266256,178.7082510416939,2.083391781427563,372.3193014935588
13,0.95,0.98,50.364264160557504,0.26942098802960446,-25.365380023052108,186.93519212773205,1.9855513347241933,371.1694202361419
14,0.955,0.66,43.60112695182279,0.2521089531349917,-20.391009432094766,172.9455713874492,2.13825250275232,369.8013008591433
15,0.945,1.0,48.53232926930298,0.26517436654492926,-24.184629781087853,183.02044010381374,2.0067427001613556,367.27493215864683
16,0.93,0.98,43.778786630806096,0.25023339522210547,-20.951181810736085,174.95181485248338,2.089561678490728,365.5726078981542
17,0.955,1.02,49.14225017149767,0.27508526528014093,-24.074794521481767,178.6437020588953,2.0412323821766534,364.6533095145351
18,0.95,1.04,49.16580519246547,0.2724869362742423,-24.37534643353443,180.43362322141908,2.0170300072053755,363.9400323463909
19,0.93,0.94,42.81006322239631,0.24774699159942767,-20.37291652045984,172.7975098547885,2.10132227162486,363.1032559391833
20,0.94,0.64,42.72515349613957,0.2340950189959262,-21.580992371436892,182.5120144776899,1.9797585190145206,361.32971548470806
21,0.94,0.92,46.60184009707622,0.25650286292587476,-23.564049093409967,181.68155928358354,1.977666907429297,359.3056074852971
22,0.945,1.04,48.108029210776394,0.2667746167223887,-24.375346433534396,180.33210881093166,1.9736346862579046,355.9097049952894
23,0.93,0.64,37.692279108791226,0.2267534995534981,-17.629954309961825,166.22578784014956,2.1379680540347836,355.3854241590034
24,0.95,1.0,49.70765229291709,0.27087096674099953,-25.680698413287573,183.5104473948527,1.9356035997524745,355.203482569664
25,0.955,0.68,43.312718460754,0.25513387015908395,-20.762549737867232,169.76467465392645,2.0860982397436105,354.1457889662027
26,0.95,0.64,43.1101595282362,0.24566731803610212,-21.399105080266224,175.48186658634395,2.0145776828766278,353.52185217438233
27,0.93,1.0,43.42791824393593,0.2516331422552637,-21.238967419010923,172.5842544217861,2.044728323518391,352.88791320953015
28,0.94,0.66,41.483761604081295,0.23711324735133762,-20.575449306033068,174.9533696133544,2.0161776779240275,352.73707849203697
29,0.95,0.66,42.24907447450119,0.24827099300915548,-20.39100943209474,170.17322065064272,2.071946198406569,352.5897575977014
30,0.955,0.98,49.46300483131169,0.2744065499648304,-25.365380023052175,180.25446126432178,1.9500202554174029,351.4998505947791
31,0.95,1.06,48.59130176049804,0.2727099601134515,-24.67486856203146,178.17941721044335,1.9692628407864379,350.8821053055096
32,0.93,0.96,42.36335617835296,0.24865908416585547,-20.662498951333696,170.36721710957733,2.050253276630828,349.2959451093866
33,0.945,0.9,45.427391364657524,0.26056681245852176,-22.83965338210223,174.34066501423266,1.9889702617052698,346.7583981192291
34,0.945,0.96,46.30799663873748,0.2633351271478507,-23.54010833770902,175.85195389727724,1.9671955614816121,345.93518318459286
35,0.935,1.02,45.74241273917028,0.2557315535567336,-23.74612897928854,178.86886503828478,1.9263102958409337,344.5569363286304
36,0.94,0.68,41.62420321188893,0.2401011854953275,-20.9461429517119,173.36108993388942,1.9872013338134429,344.50338914797726
37,0.945,0.64,41.939124199618675,0.2391123009407255,-21.39910508026619,175.39509274353532,1.959854117371201,343.74879468012136
38,0.95,0.9,46.85222897904462,0.2662534394763905,-24.0924067000716,175.96853986631464,1.9446886134005608,342.20401579474475
39,0.93,1.02,43.07171420674909,0.2523671996562692,-21.525858091732065,170.6708093025318,2.000929023279803,341.5001757600885
40,0.93,0.9,42.54623398991049,0.24568299222318105,-21.586600571757984,173.1753329968443,1.9709557254500856,341.3209140768554
41,0.95,0.68,42.07381874747864,0.2512686090503943,-20.762549737867207,167.44558306143344,2.026428318230273,339.316471278268
42,0.945,1.06,47.27127936307083,0.26713891402047535,-24.67486856203147,176.9539250258674,1.9157662073957167,339.002349830592
43,0.955,1.04,47.75465504495464,0.27661990285371973,-24.375346433534418,172.63636691466823,1.959137490626845,338.2183786681384
44,0.945,0.94,45.366311410623396,0.2627091540390345,-23.28820809611364,172.6864508264629,1.9480378749361216,336.39974669824386
45,0.95,0.96,47.57849452070113,0.2690261696628273,-25.04889534497481,176.8545215520544,1.8994248594777294,335.921874747012
46,0.96,0.14,30.90936027736253,0.16593175226531626,-17.17086439278348,186.27754998898624,1.8001050832567886,335.3191646317947
47,0.955,1.0,48.72971456397528,0.27589195711600434,-25.680698413287615,176.62607882217418,1.897522948159452,335.1520378084957
48,0.935,0.98,45.163575390728504,0.25508748114788105,-23.862963942171934,177.05132054107338,1.8926222031837783,335.09126035904364
49,0.93,1.04,42.73824577702341,0.2528219753515621,-21.595757844786302,169.044821826084,1.9790111597005786,334.5415888834162
50,0.935,1.04,45.36745646322462,0.25659468975711675,-24.047997152089263,176.80590547749765,1.8865378341615093,333.55102998648294
51,0.945,0.66,40.51772512692613,0.24203105748364845,-20.39100943209473,167.40713174656727,1.987038712421596,332.64445151589155
52,0.94,1.08,46.700623553366526,0.26184245972127357,-25.166616674076224,178.353898764465,1.8556576022184252,330.96376812757484
