,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0,0.95,0.62,48.35863746,0.290092156,-20.76627637,166.700948,2.328710096,388.1981807
1,0.955,0.62,47.31910388,0.292889081,-20.76627637,161.5598088,2.278651359,368.1384778
2,0.95,0.64,48.26106102,0.293295694,-21.86973525,164.5474584,2.206751041,363.115275
3,0.945,0.62,46.10005784,0.284485008,-20.76627637,162.0474068,2.219948199,359.7368488
4,0.95,0.6,48.2059121,0.284249565,-23.18718,169.5900998,2.07898986,352.5760978
5,0.955,0.64,47.07171792,0.296132012,-21.86973525,158.9551822,2.152367982,342.1300447
6,0.95,0.66,48.11139468,0.295506223,-22.95872335,162.8100898,2.095560539,341.1783997
7,0.955,0.6,47.31537958,0.286756025,-23.1871812,165.0022158,2.040583509,336.7008006
8,0.945,0.64,45.56925548,0.287906129,-21.86973525,158.2781707,2.08366745,329.7990723
9,0.955,0.66,46.77293469,0.29839344,-22.95872335,156.7492056,2.037262002,319.3392003
10,0.945,0.66,45.52694232,0.289973789,-22.95872335,157.0036469,1.982991024,311.3368225
11,0.95,0.58,47.4244818,0.280531788,-25.77866573,169.0520783,1.839679458,311.0016358
12,0.945,0.6,45.83990035,0.278698613,-24.28512976,164.4783941,1.887570739,310.4646041
13,0.935,0.6,42.50331647,0.269784019,-21.56987908,157.5457159,1.970493961,310.4428817
14,0.935,0.56,42.44566459,0.263831387,-22.20793563,160.8817856,1.911283664,307.4907288
15,0.95,0.74,49.05235952,0.305377857,-26.35508546,160.6284095,1.861210414,298.9632685
16,0.935,0.58,41.78048193,0.267513684,-21.98959915,156.1807279,1.900011075,296.7451128
17,0.945,1.78,57.37888411,0.358176248,-31.58914729,160.1973452,1.816411301,290.9842682
18,0.95,0.56,47.7029126,0.276925847,-28.31278657,172.2587946,1.684854032,290.2309245
19,0.945,1.92,57.37530143,0.359750599,-31.58914729,159.4863263,1.816297886,289.6746773
20,0.95,0.76,50.83589298,0.307608679,-29.03810738,165.2615691,1.750661375,289.3170458
21,0.93,0.6,39.94502354,0.265368594,-20.80689564,150.5265673,1.919797371,288.9805081
22,0.945,1.8,57.02058298,0.358412948,-31.58914729,159.0918612,1.805068762,287.1717488
23,0.945,1.72,56.83675584,0.357046534,-31.58914729,159.1858496,1.799249449,286.4150522
24,0.945,1.94,57.0364314,0.359818843,-31.58914729,158.5142981,1.805570466,286.2087352
25,0.945,1.98,57.12227244,0.361740033,-31.58914729,157.909734,1.808287888,285.5462595
26,0.945,1.08,53.53368276,0.3375102,-29.83867382,158.6135256,1.794103957,284.5691539
27,0.945,1.74,56.65547103,0.357502023,-31.58914729,158.4759453,1.793510617,284.2282905
28,0.945,1.82,56.75654691,0.358989403,-31.58914729,158.1008978,1.796710319,284.0615146
29,0.945,1.9,56.87459425,0.360662706,-31.58914729,157.6946917,1.800447278,283.9209785
30,0.945,1.96,56.88625399,0.361725851,-31.58914729,157.2634465,1.800816384,283.202591
31,0.945,1.84,56.67239765,0.359324919,-31.58914729,157.7190855,1.794046453,282.955366
32,0.945,2,56.79674082,0.362045654,-31.58914729,156.8772893,1.797982715,282.0626546
33,0.945,1.88,56.58295129,0.359832456,-31.58914729,157.2480479,1.7912149,281.6650463
34,0.945,1.76,56.34657615,0.35811451,-31.58914729,157.3423432,1.783732104,280.6565889
35,0.955,0.58,46.68832491,0.283013107,-27.62175215,164.9687724,1.690273834,278.8423995
36,0.945,2.02,56.47169256,0.362353926,-31.58914729,155.8467798,1.787692844,278.6061731
37,0.945,0.74,46.88215733,0.299622662,-26.35508546,156.4706657,1.778865692,278.3402989
38,0.945,1.7,55.97660182,0.356473915,-31.58914729,157.0286058,1.772020033,278.2578352
39,0.95,0.7,47.5724015,0.299786494,-27.13071732,158.6876076,1.753451666,278.25105
40,0.945,1.86,56.22089019,0.359711674,-31.58914729,156.2943163,1.779753334,278.1653304
41,0.945,0.96,51.01439744,0.326036454,-28.70629558,156.4683851,1.777115312,278.062363
42,0.93,0.56,39.84533783,0.259191648,-22.20793563,153.7292509,1.794193683,275.8200509
43,0.95,1.08,54.48200022,0.343607131,-31.53507485,158.5589917,1.727663577,273.9365947
44,0.945,0.76,48.96159162,0.301578166,-29.03810738,162.3512481,1.68611511,273.7428927
45,0.945,2.08,55.91364479,0.362805523,-31.58914729,154.114646,1.770027038,272.7870902
46,0.95,0.68,46.03357071,0.297771778,-26.17716529,154.5934642,1.758539177,271.8586633
47,0.945,1.1,52.74714292,0.3398184,-30.1580937,155.221562,1.749021123,271.4857907
48,0.94,0.58,42.4248591,0.271842311,-24.42189738,156.0642235,1.737164743,271.1092667
49,0.94,0.62,42.92454478,0.279913933,-24.29549487,153.3490824,1.766769725,270.9325161
50,0.945,2.04,55.69434027,0.362521604,-31.58914729,153.6304032,1.763084637,270.8634037
51,0.95,0.96,52.2819965,0.332131734,-30.45436231,157.4134334,1.716732597,270.2367723
52,0.965,0.66,43.67956926,0.307671161,-22.95872335,141.9683572,1.902526051,270.098498
53,0.945,2.1,55.63800151,0.36307237,-31.58914729,153.2421801,1.761301152,269.9056284
54,0.94,0.6,42.99842257,0.274150715,-25.07683251,156.8422777,1.714667215,268.9323115
55,0.935,0.62,42.58178488,0.27556126,-24.47331467,154.5274722,1.73992716,268.8665458
56,0.945,0.98,50.71620645,0.329046171,-29.08539274,154.1309731,1.743700245,268.7582155
57,0.945,2.12,55.49486533,0.363379405,-31.58914729,152.7187964,1.75676997,268.2917954
58,0.945,0.58,44.53643565,0.275478881,-26.83970985,161.6691465,1.659348625,268.265476
59,0.945,2.06,55.40533032,0.362796091,-31.58914729,152.7175504,1.75393561,267.8567499
60,0.945,1.66,54.80941609,0.356120258,-31.58914729,153.9070435,1.735071086,267.0396612
61,0.93,0.58,39.11410059,0.263070224,-21.82315578,148.6831159,1.792321009,266.4878723
62,0.965,0.62,43.0429442,0.302875483,-22.95621528,142.1143231,1.875001767,266.4646069
63,0.95,0.98,51.92529923,0.335133862,-30.20020213,154.9389817,1.719369262,266.3973225
64,0.955,0.76,48.94508287,0.310447599,-29.03810738,157.6597241,1.68554659,265.7428104
65,0.945,2.14,55.2334094,0.36363628,-31.58914729,151.8919106,1.748493206,265.5819737
66,0.955,0.74,47.10051169,0.308480123,-27.0976623,152.6857264,1.7381762,265.3946957
67,0.945,1.68,54.60772581,0.356153335,-31.58914729,153.3264478,1.728686289,265.0533282
68,0.945,1.64,54.54578017,0.356078989,-31.58914729,153.1844953,1.726725311,264.5075453
69,0.945,2.16,54.97224241,0.363895268,-31.58914729,151.0661096,1.740225588,262.8891094
70,0.945,2.18,54.88169996,0.364338169,-31.58914729,150.6339567,1.737359336,261.705311
71,0.945,1,50.44461329,0.330469766,-29.46276769,152.6451688,1.712147814,261.3510921
72,0.965,0.64,43.48867126,0.305804191,-23.69035047,142.2108412,1.835712448,261.0582115
73,0.945,2.22,54.76148168,0.364789431,-31.58914729,150.1180598,1.733553653,260.237711
74,0.945,2.24,54.7018125,0.364167747,-31.58914729,150.2104813,1.731664739,260.1141939
75,0.945,2.2,54.65751057,0.364553683,-31.58914729,149.9299365,1.730262298,259.4181164
76,0.945,2.48,54.71183203,0.365786347,-31.58914729,149.5731933,1.731981922,259.0580669
77,0.95,1.04,51.90852279,0.340113139,-30.64984491,152.6213394,1.693598221,258.4792288
78,0.945,2.5,54.61842771,0.365886446,-31.58914729,149.276991,1.729025074,258.1036604
79,0.95,1,51.59556777,0.33650128,-30.68077428,153.3294843,1.681690537,257.8527427
80,0.95,1.02,51.29965201,0.338340464,-30.20364715,151.6213915,1.698458857,257.5226953
81,0.94,0.56,43.2455809,0.268146642,-27.0847312,161.2758622,1.5966775,257.5055404
82,0.945,2.26,54.47006987,0.365134063,-31.58914729,149.1782757,1.724328592,257.2323662
83,0.945,2.52,54.52503057,0.365987264,-31.58914729,148.9806777,1.726068452,257.1508478
84,0.955,0.7,45.93933245,0.302782822,-27.13071732,151.7237077,1.693259043,256.9075401
85,0.945,2.3,54.49745431,0.366012121,-31.58914729,148.8952174,1.725195486,256.8733569
86,0.945,1.04,50.8642358,0.334051212,-30.21237695,152.2647843,1.683556242,256.346328
87,0.945,0.7,45.20896838,0.294075246,-27.13071732,153.7326549,1.666338853,256.1706958
88,0.945,2.28,54.36175397,0.366052456,-31.58914729,148.5080977,1.720899696,255.5675402
89,0.945,2.32,54.34194438,0.366180044,-31.58914729,148.4022552,1.720272595,255.2923327
90,0.95,1.1,53.63361481,0.345925178,-32.57870844,155.0439756,1.646278118,255.2455043
91,0.945,0.56,45.09179202,0.271962715,-29.33759903,165.8013744,1.53699667,254.8361603
92,0.945,2.4,54.27912662,0.366434927,-31.58914729,148.127601,1.718284008,254.5252879
93,0.945,1.02,50.20640889,0.332294271,-29.83842693,151.0902032,1.682609107,254.2257519
94,0.935,0.52,38.21010852,0.256326355,-22.43220814,149.0682006,1.703359218,253.9166937
95,0.945,2.34,54.18650348,0.366349206,-31.58914729,147.9094334,1.715351889,253.716726
96,0.945,2.46,54.1849244,0.366329115,-31.58914729,147.9132346,1.715301901,253.7158526
97,0.945,1.16,52.09434102,0.343895181,-31.10913483,151.483196,1.674567336,253.6688119
98,0.945,2.54,54.13956861,0.365831695,-31.58914729,147.9903718,1.713866098,253.635681
99,0.945,2.42,54.15695881,0.366563276,-31.58914729,147.7424565,1.71441661,253.2921214
100,0.945,2.56,54.055027,0.365921882,-31.58914729,147.72286,1.711189812,252.7818531
101,0.94,0.64,42.59169017,0.283341852,-25.34980713,150.3190928,1.680158352,252.5598793
102,0.935,0.64,42.40176776,0.278962778,-25.5251537,151.9979407,1.661175805,252.4953015
103,0.965,0.6,42.55219327,0.296967012,-24.15472052,143.2892934,1.761651236,252.4257609
104,0.955,0.68,44.56569914,0.300709842,-26.17716529,148.2016647,1.702464672,252.3080985
105,0.945,2.44,54.03482443,0.366692546,-31.58914729,147.3573026,1.71055027,252.0620739
106,0.945,2.58,53.97048637,0.366012737,-31.58914729,147.4552136,1.708513556,251.9292314
107,0.945,2.38,53.97069086,0.366654731,-31.58914729,147.1975848,1.70852003,251.4900219
108,0.93,0.62,40.14405693,0.271226488,-23.63611298,148.0093525,1.69842042,251.3821065
109,0.955,1.08,54.44600488,0.346284155,-34.05568725,157.2292698,1.598734581,251.3678707
110,0.945,2.6,53.88594672,0.36610426,-31.58914729,147.1874342,1.705837332,251.0778201
111,0.945,2.36,53.84393435,0.366551612,-31.58914729,146.8931866,1.70450737,250.3805192
112,0.945,2.62,53.80140805,0.36619645,-31.58914729,146.9195237,1.703161138,250.2276232
113,0.945,2.9,53.77839522,0.365934549,-31.58914729,146.9617869,1.702432634,250.192542
114,0.945,2.92,53.74494993,0.365960482,-31.58914729,146.8599824,1.701373875,249.8637373
115,0.945,2.94,53.71150034,0.365986599,-31.58914729,146.7581067,1.70031498,249.5350073
116,0.95,0.78,48.01557603,0.310698715,-29.75079891,154.5406328,1.613925602,249.4170838
117,0.945,2.64,53.71687035,0.366289307,-31.58914729,146.6514837,1.700484975,249.3786446
118,0.945,1.06,49.71621855,0.335554564,-29.54483343,148.1613542,1.682738157,249.3167642
119,0.945,2.96,53.67804647,0.3660129,-31.58914729,146.6561599,1.69925595,249.2063523
120,0.945,2.98,53.64458831,0.366039386,-31.58914729,146.5541423,1.698196783,248.8777731
121,0.945,3,53.61112586,0.366066056,-31.58914729,146.452054,1.697137481,248.5492701
122,0.945,2.66,53.63233361,0.36638283,-31.58914729,146.383316,1.697808843,248.5308883
123,0.945,0.68,43.58876948,0.292210113,-26.17716529,149.1692711,1.665144755,248.3884292
124,0.945,3.02,53.57765911,0.366092911,-31.58914729,146.3498953,1.696078043,248.2208439
125,0.945,3.04,53.54418807,0.366119949,-31.58914729,146.2476661,1.695018469,247.8924952
126,0.945,2.68,53.54779784,0.366477019,-31.58914729,146.1150223,1.695132741,247.6843583
127,0.945,3.06,53.51071273,0.366147172,-31.58914729,146.1453669,1.693958759,247.5642243
128,0.945,1.18,51.83127799,0.345530101,-31.42375305,150.005102,1.649429905,247.4229011
129,0.945,3.08,53.47723309,0.366174578,-31.58914729,146.0429977,1.692898912,247.236032
130,0.945,3.1,53.44374914,0.366202169,-31.58914729,145.9405587,1.69183893,246.9079187
131,0.945,2.7,53.46326302,0.366571873,-31.58914729,145.8466045,1.69245667,246.8390585
132,0.945,3.12,53.41026089,0.366229944,-31.58914729,145.8380502,1.690778811,246.5798851
133,0.95,0.72,45.72365945,0.303224993,-27.99187836,150.7911963,1.633461637,246.3116343
134,0.945,3.14,53.37676834,0.366257902,-31.58914729,145.7354722,1.689718556,246.2519316
135,0.945,2.72,53.37872915,0.366667392,-31.58914729,145.5780642,1.689780628,245.9949928
136,0.945,3.16,53.34327147,0.366286045,-31.58914729,145.6328249,1.688658164,245.9240588
137,0.945,3.18,53.3097703,0.366314372,-31.58914729,145.5301087,1.687597636,245.5962674
138,0.945,1.12,50.49027241,0.340905861,-30.47630775,148.1062024,1.656705689,245.368388
139,0.945,3.2,53.27626481,0.366342882,-31.58914729,145.4273235,1.686536972,245.2685578
140,0.945,1.22,53.30600336,0.346632267,-33.42398752,153.782577,1.594842726,245.2590243
141,0.945,2.74,53.29419623,0.366763575,-31.58914729,145.3094033,1.687104617,245.1521651
142,0.945,3.22,53.24275501,0.366371576,-31.58914729,145.3244697,1.685476171,244.9409307
