Date,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0,0.94,0.98,105.00869840600915,0.30345654255178695,-14.605698861695938,346.0419654260336,7.1895702766677525,2487.8930291067013
1,0.94,1.02,104.92353988264153,0.3065681809828297,-14.840396991565674,342.2518917203547,7.070130262840901,2419.765457166627
2,0.94,1.0,103.06905831940307,0.305921101573759,-14.723088259775885,336.91385716507244,7.000505362790781,2358.5672638826168
3,0.935,0.98,101.7602193271535,0.3032633627942288,-14.60569886169596,335.5506527051214,6.967158524267799,2337.8345903181107
4,0.94,1.04,103.26365049773383,0.3069813040034112,-14.957625057065249,336.38416786641295,6.903746423898836,2322.310995963934
5,0.935,1.02,101.67641017563231,0.30637707777380907,-14.840396991565651,331.86689720533724,6.851326836702468,2273.728579036106
6,0.93,0.98,100.12107779352503,0.3041781913729784,-14.60569886169596,329.1527158525253,6.854932361784936,2256.3196038668775
7,0.94,0.94,104.90532923541318,0.3001476827400229,-16.39453657080091,349.512374301015,6.398798086324213,2236.4591118239664
8,0.935,1.0,99.85131393105762,0.3057278876750206,-14.723088259775874,326.6019161366022,6.781954449315895,2214.9993182977264
9,0.93,1.02,100.03793468961142,0.3073790187481577,-14.840396991565651,325.4546621204965,6.7409203909077835,2193.863968204058
10,0.94,1.06,100.73836343880727,0.3079662314374088,-15.074772456274665,327.1084721484517,6.68257937099915,2185.9283280582936
11,0.935,1.04,100.04282267281054,0.30678900048354474,-14.957625057065238,326.09651100635386,6.688416262015827,2181.0692072015204
12,0.955,0.98,99.49091626358073,0.3169051218251155,-14.605698861695926,313.945434805831,6.811787454039597,2138.5295740633655
13,0.93,1.0,98.22767339158447,0.30668288652236303,-14.723088259775885,320.29069018307223,6.671675918696129,2136.8756846769656
14,0.93,1.04,98.41761146990089,0.3078368933008035,-14.957625057065227,319.70700592320463,6.579761900330118,2103.595976842117
15,0.935,0.94,101.65848811288676,0.2999520751178598,-16.394536570800945,338.9157687038578,6.200753993494572,2101.533306248729
16,0.94,0.96,101.84968728730061,0.30115216238838405,-16.57399481095553,338.20008622733747,6.145150185516966,2078.290322621777
17,0.955,1.02,98.84404324501384,0.32015200636875024,-14.840396991565663,308.7409770319088,6.660471637058665,2056.3605207188093
18,0.935,1.06,97.55755021305849,0.30777233076137095,-15.074772456274665,316.97959973113706,6.471576967150274,2051.35787667654
19,0.93,0.94,100.02018786275286,0.30077817565823084,-16.394536570800923,332.5380494906789,6.100824346623575,2028.756228511449
20,0.955,1.0,97.32389559518262,0.3193956562494241,-14.723088259775864,304.71264618320276,6.610290849174345,2014.2392166925251
21,0.94,0.92,98.21441434107221,0.2980310940560689,-16.214821666141845,329.5441861599684,6.057076442977702,1996.074326909803
22,0.93,1.06,95.95252286213696,0.30886359800133956,-15.074772456274676,310.6631000967644,6.365105884049214,1977.4035263828853
23,0.955,1.04,96.95400374862307,0.3206814059329803,-14.957625057065249,302.3374662667085,6.481911625591039,1959.7247374459162
24,0.935,0.96,98.6512645374843,0.3009544751093947,-16.57399481095553,327.7946423678375,5.952171800625586,1951.0900266979916
25,0.945,0.98,93.45993441301579,0.3068446756751693,-14.605698861695926,304.58385568323814,6.398867681581365,1948.991790462915
26,0.94,0.9,95.7276027564975,0.29576562429384284,-16.034849913916982,323.6603408021218,5.969971859444317,1932.2431266068245
27,0.95,0.98,94.12058811245825,0.31618156441788275,-14.605698861695938,297.6789247208081,6.444100279192629,1918.272841903121
28,0.93,0.96,97.03738808536622,0.3018256908211849,-16.57399481095554,321.50141964838747,5.854797783647413,1882.3257991968758
29,0.945,1.02,92.83256185209217,0.31017770728936117,-14.840396991565651,299.2883101218159,6.255396126185328,1872.1669357485605
30,0.935,0.92,95.0735945651496,0.297827727826693,-16.214821666141866,319.2234492702213,5.863375899080813,1871.727078872462
31,0.95,1.02,93.49112902153716,0.31943516784889414,-14.84039699156564,292.67638141133625,6.299772780652142,1843.7947011549006
32,0.945,1.0,91.35841809797331,0.30940311863165704,-14.723088259775874,295.27310035531696,6.205112438778794,1832.2027878515564
33,0.955,1.06,94.23140996450047,0.32175847552653275,-15.074772456274665,292.86380043384435,6.250934150934925,1830.6723317045082
34,0.935,0.9,92.62618807856346,0.2955581608894065,-16.034849913917004,313.3941143760967,5.776554727722841,1810.3382530397541
35,0.93,0.92,93.48879800638854,0.2986067946734296,-16.214821666141866,313.08329105046744,5.765638372798283,1805.1250367625482
36,0.95,1.0,92.01190399550592,0.31867471945293774,-14.723088259775864,288.7329881499883,6.249497549157982,1804.4361018044124
