Date,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0,0.975,0.14,25.02453805054825,0.16654066191477557,-17.170864392783468,150.2608297747378,1.4573837098769185,218.98768554629152
1,0.98,0.14,23.37501038723535,0.1665916527854377,-17.17216861687104,140.31321495646168,1.3612148185098905,190.99642743149923
2,0.96,0.14,22.716904075682965,0.159172966099895,-17.17086439278348,142.71835621525148,1.322991292461104,188.8151425471398
3,0.955,0.14,22.45040437299668,0.15706950609646336,-17.174532907042728,142.93292779063614,1.307191554757829,186.84071610473018
4,0.99,0.14,23.018873561212683,0.1689916483102332,-17.170864392783415,136.21308384988862,1.3405774476261705,182.60418828077323
5,0.95,0.14,21.941939222211793,0.15567110244541132,-17.181127061483505,140.95062524469563,1.2770954515202344,180.0074023889339
6,0.985,0.14,22.4859780618075,0.16702564312809082,-17.17258177362495,134.62590318878856,1.3094116166238494,176.28072153387745
7,0.995,0.14,22.4596194293907,0.16963330222298906,-17.171343068139365,132.40100342954312,1.3079710387397412,173.17667798592356
8,1.0,0.14,22.42640101482627,0.16994538911003465,-17.173912601800644,131.9623976400197,1.305841105332917,172.32192319662525
9,0.97,0.14,21.7026752906164,0.1615462594466257,-17.17086439278337,134.34340952838272,1.263924447492444,169.79991966241226
10,1.005,0.14,22.216381115791673,0.17063597472992093,-17.242748700128164,130.19752224555987,1.2884477702575658,167.75270723035143
11,0.965,0.14,21.378589881442146,0.15972116301149172,-17.17131188670711,133.8494503693539,1.2450178543429773,166.6449555038398
12,0.93,0.9,29.278353621125717,0.24548822805151593,-22.27520939909927,119.26581512080338,1.3143918468532838,156.76201500309506
13,1.01,0.14,21.485665383882413,0.17076274777914138,-17.761356756015445,125.82173608304329,1.209686043641098,152.20479812635102
14,0.945,0.14,19.8603073279652,0.15092170693976067,-17.20709256244046,131.59344491042827,1.1541930896167873,151.88424475448372
15,0.94,0.14,20.222379521938038,0.14701307912661055,-18.4643511264176,137.55496886451937,1.0952120322823131,150.65185700064055
16,0.975,0.16,22.057924423640674,0.17029140941190524,-19.380764411070228,129.53045899271643,1.1381349030299992,147.4231363851066
17,0.935,0.9,29.62679432809583,0.25099531461535873,-23.83055896941091,118.03724054968048,1.2432269996740326,146.74708441838132
18,0.93,0.96,29.180816702055612,0.2495587820951437,-23.533413169252327,116.92963259826494,1.2399738402664822,144.98968557381943
19,0.975,0.2,22.86171629045888,0.18104764119514266,-20.162059869228322,126.27458794570718,1.133897847677301,143.18248348797542
20,0.93,0.98,29.608682208432626,0.250991602567058,-24.412963400788314,117.96682401165994,1.2128262236069438,143.07325767696648
21,0.935,1.02,30.90076670588622,0.25795738471791047,-25.888971249565827,119.79019999632025,1.1935880498304636,142.9801512024091
22,0.935,0.96,30.083353623629282,0.2550367614983323,-24.94539584238301,117.95693078476452,1.2059681800084616,142.25230513788654
23,0.935,0.98,30.548226325944828,0.25562833532502843,-25.668868658601163,119.50250463080752,1.190088536126764,142.21856079955955
24,0.935,1.0,30.268258137070212,0.2580540152767978,-25.47903581197253,117.2942730792366,1.1879671727156662,139.34174596568
25,0.93,1.66,29.62534982907272,0.2679317723854173,-23.585018186783014,110.57049921819998,1.256108839707179,138.88858147881672
26,0.935,1.66,31.065908924194208,0.27244911342505856,-25.534467922751514,114.02462842933558,1.2166264446228823,138.72537828542778
27,0.935,1.04,30.82216059194827,0.2588033462723558,-26.536483579400183,119.0949075268605,1.1615013157159595,138.32889178751898
28,0.93,0.92,28.111400172061153,0.24765136545039979,-23.22421964173208,113.51199344665585,1.2104346499353285,137.39885005106416
29,0.93,1.76,29.742693541753074,0.268177384859878,-24.00884178569799,110.9067923728675,1.2388225057766313,137.3938304350043
30,0.935,1.76,31.1023793658461,0.27277566488077687,-25.842715735566856,114.02182588186575,1.2035259639156448,137.2282279018943
31,0.93,1.72,29.537337401829976,0.2678940903762354,-23.839498480616772,110.25751766433964,1.2390083384449533,136.60998376235855
32,0.935,1.72,30.92770525334756,0.27246278219309106,-25.71949057774595,113.51166938987458,1.2025006933888525,136.49786114905038
33,0.93,0.88,27.191755643080985,0.24397135677351506,-22.273478710370952,111.45470518624774,1.2208131471811805,136.06536940657375
34,0.91,0.14,15.604452287852212,0.12876538353874561,-13.905909411359453,121.18514975848939,1.1221454006528515,135.98735842891588
35,0.93,1.7,29.39756201540964,0.26763856670459113,-23.754733783282013,109.84053000051188,1.2375454207825687,135.93264491846384
36,0.935,1.7,30.80282134703758,0.27219468065281327,-25.657841015182857,113.1646704967275,1.2005227302176444,135.8567591889114
37,0.935,2.02,31.401364654850926,0.2736324723179849,-26.549789401480652,114.75744961423948,1.1827349806812293,135.72764995252467
38,0.935,2.76,30.84639537829268,0.27665154005951537,-25.383902707899132,111.49909149848496,1.2151951468319209,135.4931548651272
39,0.93,1.68,29.317971749178362,0.26819809785694737,-23.66990702615348,109.3146147696249,1.2386179513415152,135.39904419763974
40,0.935,2.78,30.834431678010144,0.2766573068992435,-25.383902707899107,111.45352357976871,1.2147238363159543,135.3852517337473
41,0.935,1.68,30.73874335329352,0.2727280974236576,-25.59616679685137,112.70838481135206,1.2009119801905161,135.3528495878755
42,0.93,2.76,30.297652132442444,0.2711253841844817,-25.025034793161637,111.74775177755777,1.210693706636588,135.29229980787676
43,0.935,2.8,30.822465145177635,0.2766631756558853,-25.383902707899097,111.40790628209493,1.214252414211552,135.2773191652881
44,0.93,2.78,30.293031314545505,0.2711211676518119,-25.02503479316166,111.73244633355009,1.2105090588254999,135.2531384514964
45,0.935,2.28,31.11893456325405,0.2760851757148924,-25.936785362871895,112.71497820437106,1.1997992090338352,135.23534169587037
46,0.93,2.8,30.28840954050476,0.27111698460205863,-25.025034793161684,111.71712308973052,1.2103243728069197,135.21395693537156
47,0.93,2.82,30.283786809890657,0.2711128350367714,-25.025034793161606,111.70178204872973,1.2101396485636884,135.1747552723875
48,0.935,2.82,30.81049577808248,0.276669146322955,-25.383902707899075,111.36223965543846,1.2137808804512449,135.16935729800062
49,0.93,0.94,28.69569822955107,0.24861515402778966,-24.50804268471628,115.42216057490819,1.1708686245860955,135.1441863990982
50,0.93,2.84,30.2791631222731,0.27110871895748795,-25.025034793161673,111.68642321319484,1.2099548860786067,135.13553347544823
51,0.935,3.5,30.78814036970052,0.27637295142705975,-25.383902707899132,111.4007004329659,1.2129001881227532,135.11793051215082
52,0.93,1.0,29.3708492617764,0.2534317283881497,-25.19235516245072,115.89255003143387,1.1658635753736013,135.11490273881145
53,0.93,2.86,30.27453847722179,0.27110463636573345,-25.02503479316166,111.67104658579115,1.209770085334491,135.09629155748448
54,0.935,3.52,30.783460193158408,0.2763700360699444,-25.383902707899065,111.38494111339789,1.2127158123553274,135.07827934648463
55,0.935,2.84,30.798523575010318,0.276675218893855,-25.383902707899143,111.31652374991347,1.2133092349674905,135.06136627024802
56,0.93,2.88,30.269912874306158,0.2711005872630208,-25.025034793161684,111.65565216920169,1.2095852463141303,135.05702953144868
57,0.935,1.94,31.170607776816773,0.2732814436467175,-26.32487337370891,114.06046221386453,1.1840743670185088,135.05606959772018
58,0.935,3.54,30.778779039426098,0.27636715359324565,-25.383902707899143,111.36916467550262,1.2125313980914423,135.03860894826326
59,0.93,2.9,30.265286313095263,0.27109657165085044,-25.02503479316166,111.64023996612691,1.2094003690003083,135.01774741031687
60,0.935,3.56,30.77409690806041,0.2763643039979924,-25.383902707899075,111.35337112235727,1.212346945313653,134.9989193305674
61,0.93,2.92,30.26065879315798,0.2710925895307108,-25.025034793161616,111.62480997928529,1.2092154533757955,134.97844520708847
62,0.935,3.58,30.76941379861793,0.27636148728520143,-25.383902707899097,111.33756045705564,1.2121624540044798,134.9592105064967
63,0.935,2.86,30.786548534245007,0.27668139336187564,-25.383902707899107,111.27075861577302,1.2128374776926905,134.95334622050635
64,0.935,0.64,27.711317189655826,0.2287676564306076,-24.87485400323163,121.133020384206,1.1140293400739436,134.94573875978057
65,0.93,2.94,30.25603031406272,0.2710886409040778,-25.025034793161637,111.60936221141237,1.2090304994233418,134.93912293478456
66,0.935,3.6,30.764729710654827,0.2763587034558786,-25.383902707899086,111.32173268270705,1.2119779241464437,134.9194824891726
67,0.93,2.96,30.251400875377634,0.2710847257724149,-25.02503479316166,111.59389666526157,1.2088455071256936,134.89978060645038
68,0.935,3.62,30.760044643727035,0.2763559525110174,-25.383902707899164,111.30588780243744,1.211793355722045,134.87973529173712
69,0.93,2.98,30.24677047667077,0.2710808441371735,-25.025034793161627,111.5784133436045,1.2086604764655928,134.86041823515586
70,0.935,2.88,30.774570654068878,0.27668766972019504,-25.383902707899086,111.22494430340957,1.2123656085591716,134.8452972873631
71,0.935,3.64,30.755358597390202,0.2763532344516,-25.383902707899107,111.29002581938892,1.2116087487137892,134.8399689273551
72,0.93,3.0,30.242139117509616,0.27107699599979257,-25.025034793161637,111.56291224922958,1.2084754074257515,134.8210358339911
73,0.935,3.66,30.75067157119966,0.2763505492785967,-25.383902707899107,111.27414673671971,1.2114241031041493,134.80018340921018
74,0.93,3.02,30.237506797461535,0.2710731813616985,-25.02503479316166,111.54739338494356,1.208290299988883,134.7816334160714
75,0.935,3.68,30.7459835647103,0.276347896992966,-25.383902707899107,111.2582505576038,1.2112394188755928,134.76037875050713
76,0.93,3.04,30.232873516093473,0.27106940022430587,-25.025034793161627,111.53185675357021,1.2081051541376857,134.74221099453422
77,0.935,2.9,30.762589932762154,0.27669404796187963,-25.383902707899065,111.17908086335251,1.2118936274991838,134.73721960951337
78,0.935,3.7,30.741294577476918,0.27634527759565497,-25.383902707899086,111.24233728523201,1.2110546960105821,134.7205549644733
79,0.93,3.06,30.228239272972246,0.27106565258901627,-25.025034793161627,111.51630235795176,1.2079199698548453,134.7027685825409
80,0.935,1.98,31.215782685078807,0.27364235691003913,-26.4373728491925,114.07511263083114,1.180744503742635,134.69356225267592
81,0.935,3.72,30.736604609053852,0.2763426910875989,-25.383902707899054,111.22640692281071,1.2108699344915597,134.68071206435536
82,0.93,3.08,30.22360406766409,0.27106193845721954,-25.025034793161648,111.50073020094683,1.2077347471230293,134.66330619327363
83,0.935,3.74,30.731913658995012,0.2763401374697212,-25.383902707899097,111.21045947356211,1.210685134300948,134.64085006341966
84,0.935,2.92,30.750606368603783,0.2767005280798838,-25.383902707899086,111.13316834627089,1.2114215344449244,134.6291133257656
85,0.93,3.1,30.218967899735194,0.27105825783029275,-25.025034793161637,111.48514028543278,1.207549485924905,134.62382383994026
86,0.935,3.76,30.72722172685438,0.2763376167429336,-25.383902707899118,111.19449494072589,1.2105002954211803,134.60096897495762
87,0.93,3.12,30.214330768751395,0.27105461070960085,-25.025034793161606,111.46953261430426,1.2073641862431228,134.5843215357707
88,0.935,3.78,30.722528812185203,0.2763351289081364,-25.383902707899043,111.1785133275562,1.2103154178346607,134.56106881227757
89,0.935,2.42,31.214015551226424,0.27664063381459914,-26.173778866651134,112.83235987720315,1.192568169474268,134.560280876218
90,0.93,3.14,30.209692674278067,0.2710509970964963,-25.025034793161627,111.45390719047299,1.2071788480603114,134.54479929401603
91,0.935,3.8,30.71783491454072,0.27633267396621786,-25.383902707899132,111.16251463732453,1.2101305015237762,134.52114958870965
92,0.935,2.94,30.738619959870682,0.2767071100670504,-25.38390270789902,111.08720680297026,1.2109493293285185,134.52097857503526
93,0.93,3.16,30.20505361588053,0.2710474169923193,-25.025034793161616,111.43826401686924,1.2069934713591053,134.50525712795348
94,0.935,3.82,30.713140033473675,0.2763302519180547,-25.383902707899118,111.14649887331774,1.2099455464709203,134.48121131760595
95,0.93,3.18,30.200413593123553,0.2710438703983977,-25.025034793161694,111.42260309643986,1.2068080561221068,134.46569505087962
96,0.935,3.84,30.708444168536552,0.2763278627645118,-25.383902707899118,111.13046603883903,1.2097605526584574,134.44125401233785
97,0.93,3.2,30.19577260557189,0.27104035731604703,-25.025034793161648,111.40692443215038,1.2066226023319335,134.42611307611836
98,0.935,2.96,30.726630704838207,0.27671379391610973,-25.383902707899132,111.04119628439442,1.210477012082011,134.41281549634584
99,0.935,3.86,30.703747319281582,0.27632550650644244,-25.383902707899118,111.11441613720785,1.2095755200687481,134.4012776862985
100,0.93,3.22,30.191130652789646,0.27103687774657026,-25.02503479316166,111.39122802698272,1.2064371099711588,134.3865112170114
