,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0,0.91,4.7,31.72576373,0.194598248,-18.72126802,163.0321137,1.694637548,276.2803415
1,0.91,4.9,31.69076111,0.19459154,-18.72126802,162.8578564,1.692767877,275.6805478
2,0.91,4.5,30.42700798,0.196157737,-18.72126802,155.1150033,1.625264269,252.1028724
3,0.91,3.9,30.25345473,0.195416962,-18.72126802,154.8148859,1.61599389,250.1799097
4,0.91,4.1,30.09096509,0.195603275,-18.72126802,153.8367143,1.607314476,247.2639778
5,0.91,4.3,29.92828906,0.195803152,-18.72126802,152.8488624,1.598625105,244.3480288
6,0.905,4.7,26.7233589,0.18587349,-15.72682197,143.7717602,1.699221811,244.3001107
7,0.905,4.9,26.68967596,0.185906292,-15.72682197,143.5652106,1.697080059,243.6416562
8,0.91,0.1,14.22120005,0.107783806,-7.737192551,131.9418995,1.838031037,242.5133063
9,0.935,4.7,31.07920354,0.222884406,-18.23549069,139.4409064,1.704325048,237.6526295
10,0.935,4.9,31.04437273,0.222878554,-18.23549069,139.2882902,1.702414992,237.1264735
11,0.91,3.1,29.03877717,0.197337634,-18.72126802,147.1527586,1.551111663,228.2503602
12,0.91,3.5,29.04234011,0.198205069,-18.72126802,146.5267273,1.551301978,227.307202
13,0.91,3.3,28.80030008,0.197676102,-18.72126802,145.6943948,1.538373365,224.1323764
14,0.91,3.7,28.81472171,0.198585008,-18.72126802,145.1001863,1.539143699,223.3300375
15,0.905,4.5,25.47393404,0.187457731,-15.72682197,135.8916163,1.619776335,220.1140241
16,0.905,3.9,25.30699989,0.18656085,-15.72682197,135.6501105,1.60916172,218.2829652
17,0.935,4.5,29.78682259,0.224247449,-18.23549069,132.8301511,1.633453308,216.9718497
18,0.905,4.1,25.15067151,0.18679513,-15.72682197,134.6430796,1.59922148,215.324105
19,0.935,3.9,29.6141212,0.223599782,-18.23549069,132.4425316,1.623982689,215.0843786
20,0.935,4.1,29.45242913,0.223762653,-18.23549069,131.6235252,1.6151158,212.5872351
21,0.905,4.3,24.99416381,0.18704343,-15.72682197,133.6275955,1.589269839,212.3703072
22,0.935,4.3,29.29055157,0.22393742,-18.23549069,130.7979324,1.606238739,210.0927061
23,0.93,4.7,30.37159477,0.216763154,-20.48964026,140.114195,1.482290289,207.6899105
24,0.93,4.9,30.33695199,0.216757104,-20.48964026,139.9582823,1.480599542,207.2221686
25,0.91,0.9,24.86190209,0.174254251,-17.17484306,142.6760146,1.447576668,206.5344698
26,0.91,1.1,25.49037086,0.179981713,-17.70816214,141.6275604,1.439470152,203.8686459
27,0.91,2.7,28.55493181,0.198154046,-20.65794734,144.104712,1.382273434,199.1921151
28,0.935,0.9,28.48689133,0.193171968,-21.2890327,147.4690745,1.338101723,197.3286226
29,0.91,2.5,28.20624683,0.198902765,-20.42098834,141.8092243,1.381238085,195.8723014
30,0.935,3.5,28.40894897,0.226040705,-18.23549069,125.6806777,1.557893311,195.7970872
31,0.935,3.7,28.1824478,0.226373962,-18.23549069,124.4950946,1.545472413,192.4037342
32,0.935,1.1,26.94607341,0.201683153,-18.71375414,133.6059709,1.439907418,192.3802286
33,0.935,3.1,28.12379435,0.225798619,-18.23549069,124.5525525,1.542255969,192.0919175
34,0.93,4.5,29.08619051,0.218163285,-20.48964026,133.3230316,1.419555939,189.2595013
35,0.935,2.7,27.86383364,0.226106008,-18.23549069,123.2334953,1.528000212,188.300807
36,0.91,2.9,27.95963793,0.198855308,-20.89490634,140.602925,1.338107837,188.1418759
37,0.935,1.5,28.41703184,0.215839267,-19.89035824,131.6583041,1.428683762,188.0980811
38,0.905,3.1,24.13848756,0.188404399,-16.44718832,128.1206158,1.467636115,188.0344428
39,0.93,3.9,28.91442143,0.21749732,-20.48964026,132.9415065,1.411172722,187.6034276
40,0.935,3.3,27.77604434,0.226318081,-18.23549069,122.7301162,1.523186012,186.9407962
41,0.935,2.1,27.66573643,0.22460424,-18.23549069,123.175486,1.517136934,186.8740791
42,1,4.7,35.31340243,0.279376341,-24.06929788,126.4008336,1.467155486,185.4496765
43,0.93,4.1,28.75360222,0.21766461,-20.48964026,132.1004924,1.403323917,185.3797804
44,1,4.9,35.27744649,0.279371845,-24.06929788,126.2741651,1.465661635,185.0751994
45,0.91,1.7,27.95285074,0.193722864,-21.85864624,144.2929874,1.278800637,184.5219642
46,0.935,2.5,27.55823949,0.226650327,-18.23549069,121.589233,1.511242004,183.7507562
47,0.93,4.3,28.59259853,0.217844124,-20.48964026,131.2525581,1.395466107,183.1584963
48,0.905,3.5,24.14189668,0.18939266,-16.8526625,127.4700758,1.432527156,182.6043452
49,0.905,3.3,23.90905748,0.188797417,-16.64992541,126.6386893,1.435985862,181.8513674
50,0.91,2.1,27.96827811,0.197081697,-21.95552488,141.912103,1.273860601,180.7762367
51,0.935,1.7,28.40174927,0.221339845,-20.17878585,128.3173812,1.407505361,180.607402
52,0.94,0.9,27.74604998,0.197057227,-21.63693392,140.8019917,1.282346662,180.5569641
53,0.915,4.7,27.68478676,0.201988695,-21.08398844,137.0610703,1.313071616,179.9710011
54,0.915,4.9,27.65085793,0.20198208,-21.08398844,136.8975798,1.311462393,179.5360276
55,0.93,0.9,25.55437867,0.190190454,-19.13527477,134.3620467,1.335459196,179.4350309
56,0.935,2.3,27.13653872,0.226164077,-18.23549069,119.9860696,1.488116728,178.5532773
57,0.935,2.9,27.16219706,0.226916811,-18.23549069,119.7011228,1.489523782,178.2976692
58,0.905,3.7,23.92291292,0.189828499,-17.05539958,126.0238221,1.402659187,176.7684719
59,0.93,1.1,24.82346035,0.198484045,-17.72306324,125.0652685,1.400630355,175.1702114
60,0.94,4.7,29.21610675,0.22742483,-21.79025529,128.4648944,1.340787722,172.2441531
61,0.915,0.9,22.45464886,0.178277788,-16.42355259,125.9531494,1.367222392,172.2059663
62,0.935,1.3,25.73258451,0.211471233,-18.21692437,121.683617,1.412564711,171.8859833
63,0.94,4.9,29.18177101,0.227419035,-21.79025529,128.317188,1.339211984,171.8439159
64,0.93,3.1,27.71222878,0.219223727,-20.48964026,126.4107184,1.352499528,170.970437
65,1,4.5,33.96908203,0.280475016,-24.06929788,121.112684,1.411303404,170.9267432
66,0.91,1.5,27.20039021,0.18930909,-22.86997898,143.6824306,1.189349157,170.8885776
67,0.91,1.3,25.83152715,0.18636956,-20.95459672,138.6037887,1.232737976,170.862154
68,0.93,3.5,27.71575511,0.22000491,-20.48964026,125.9778934,1.352671631,170.4067226
69,0.935,0.1,14.10309752,0.123226713,-9.477360385,114.4483792,1.488082857,170.308671
70,0.94,1.1,25.78234449,0.205917258,-19.01666875,125.2073031,1.355776073,169.7530658
71,1,3.9,33.79081549,0.279958411,-24.06929788,120.6994115,1.403897017,169.4495437
72,0.91,2.3,27.61120282,0.198612951,-22.65324655,139.0201529,1.218862946,169.4465131
73,0.93,3.3,27.47620327,0.219528275,-20.48964026,125.1602024,1.340980267,167.8373617
74,1,4.1,33.62391303,0.280089287,-24.06929788,120.0471228,1.39696277,167.7013612
75,0.93,3.7,27.49047667,0.220347094,-20.48964026,124.7598783,1.341676883,167.3874445
76,0.905,2.7,23.67281499,0.189316921,-17.68870252,125.0433127,1.33830138,167.345638
77,1,4.3,33.45681912,0.280229703,-24.06929788,119.3906953,1.390020569,165.9555221
78,1.005,0.1,21.75490922,0.152898093,-18.83524291,142.2837183,1.155010812,164.3392331
79,0.905,2.5,23.33739793,0.190048589,-17.44287572,122.7970073,1.337932936,164.2941605
80,1.005,4.7,34.60123818,0.28210019,-25.96348273,122.6558485,1.332688628,163.4620545
81,1.005,4.9,34.56547147,0.28209572,-25.96348273,122.5310026,1.331311051,163.1268779
82,0.93,2.7,27.23335745,0.219958558,-20.69669991,123.8113111,1.315830909,162.9147499
83,0.915,4.5,26.42587317,0.203486114,-21.08398844,129.8657322,1.253362154,162.7687939
84,1,0.9,29.25850685,0.243514963,-21.73100283,120.1507559,1.346394692,161.7703399
85,0.915,3.9,26.25764404,0.202771268,-21.08398844,129.4939088,1.245383155,161.2695327
86,0.915,4.1,26.10013913,0.202950141,-21.08398844,128.6037007,1.237912799,159.200167
87,0.93,2.1,26.71402694,0.21893854,-20.48964026,122.0161004,1.303782136,159.082412
88,0.93,2.5,26.82045901,0.220705294,-20.48964026,121.5215936,1.308976569,159.0689186
89,0.905,0.9,20.73231871,0.167437002,-16.2444841,123.821607,1.276268214,158.0295813
90,1.01,0.1,21.33307785,0.152963429,-18.83524291,139.4652176,1.132614957,157.9603915
91,0.915,4.3,25.94245354,0.203142102,-21.08398844,127.7059423,1.230433873,157.1337171
92,0.94,4.5,27.93236227,0.228763359,-21.79025529,122.1015567,1.281874026,156.518814
93,0.905,2.9,23.10010252,0.190096689,-17.93452931,121.5176477,1.288023907,156.5176354
94,1,3.5,32.54681052,0.281917345,-24.06929788,115.4480598,1.35221271,156.1103338
95,0.935,0.5,20.44133108,0.165190529,-16.21264224,123.743965,1.26082663,156.0196863
96,1,0.1,21.04502776,0.151155258,-18.83524291,139.2278908,1.117321813,155.5623593
97,0.94,3.9,27.76212852,0.228128175,-21.79025529,121.695308,1.274061646,155.0473244
98,1,3.1,32.25278816,0.280997863,-24.06929788,114.7794783,1.339997051,153.8041624
99,0.95,0.9,25.93491675,0.206081656,-21.22798601,125.8477697,1.221732327,153.7522886
100,0.93,2.9,26.64418332,0.220590062,-20.93354317,120.7859643,1.272798547,153.7361998
101,1,3.7,32.31301055,0.282185691,-24.06929788,114.5097414,1.342499092,153.7292239
102,0.945,0.9,25.63527779,0.201424631,-21.22798601,127.269826,1.207617047,153.6932115
103,0.94,4.1,27.60274679,0.22828754,-21.79025529,120.9121917,1.266747288,153.1651909
104,0.93,2.3,26.29616846,0.220378126,-20.48964026,119.3229518,1.28338849,153.1377028
105,0.905,2.1,23.12923967,0.188033194,-18.66923046,123.0061525,1.238896254,152.3918615
106,0.905,1.7,23.24056999,0.185652067,-19.21549854,125.1834704,1.209470051,151.4056583
107,0.94,4.3,27.44318222,0.228458571,-21.79025529,120.1232331,1.259424539,151.2861475
108,0.925,4.7,25.39950074,0.213209756,-20.06892685,119.1291678,1.2656133,150.7714592
109,1.005,4.5,33.26399303,0.2831877,-25.96348273,117.4627043,1.281183783,150.4913119
110,0.925,4.9,25.36617916,0.213203412,-20.06892685,118.9764222,1.263952943,150.380599
111,1,3.3,31.89385343,0.281373806,-24.06929788,113.3504709,1.325084495,150.1989515
112,1.005,3.9,33.08666472,0.28267596,-25.96348273,117.0480317,1.274353871,149.1606122
113,0.93,1.7,26.74974982,0.215768449,-22.28436182,123.9743344,1.200382135,148.8165763
114,0.93,1.5,26.53016874,0.211115331,-22.51084674,125.6667086,1.178550458,148.104557
115,1.01,4.7,32.94484251,0.28261674,-25.96348273,116.5707399,1.268891499,147.9156208
116,1.01,4.9,32.90951595,0.282612234,-25.96348273,116.4475986,1.267530874,147.6009263
117,1.005,4.1,32.92064068,0.282805503,-25.96348273,116.4073553,1.26795935,147.5997946
118,1.005,4.3,32.7544262,0.282944497,-25.96348273,115.7627259,1.261557494,146.0413343
119,0.905,1.3,22.61708649,0.177615625,-19.74485299,127.3372568,1.145467454,145.8606834
120,0.915,3.1,25.08022938,0.204617867,-21.08398844,122.5710625,1.189539136,145.8030758
121,0.915,3.5,25.08368303,0.205454687,-21.08398844,122.0886387,1.18970294,145.2492124
122,0.935,0.7,24.13836161,0.183443191,-21.92375287,131.5849416,1.101014126,144.8768795
123,0.915,0.1,12.90461235,0.108591172,-10.61978459,118.8366619,1.215148221,144.4041583
124,0.94,0.7,24.37390127,0.18600693,-22.2689055,131.037598,1.094526234,143.4240887
125,0.91,1.9,25.8867937,0.198757544,-23.51152458,130.243075,1.101025738,143.4009778
126,0.915,3.3,24.84906809,0.204943311,-21.08398844,121.2484952,1.178575305,142.9004821
127,0.915,3.7,24.86304731,0.2058203,-21.08398844,120.799782,1.17923833,142.4517331
128,0.905,2.3,22.78564099,0.18968556,-19.39633177,120.123224,1.174739701,141.1135202
129,0.94,3.5,26.57417645,0.230519184,-21.79025529,115.2796742,1.219544062,140.5886422
130,0.955,0.9,24.95953491,0.209992068,-21.22798601,118.8594175,1.175784405,139.7530495
131,0.945,4.7,27.14133359,0.232266788,-22.71813503,116.8541306,1.194699017,139.6055149
132,0.945,4.9,27.10754915,0.232261046,-22.71813503,116.7115605,1.193211904,139.2616233
133,0.94,0.5,19.57492427,0.166334018,-16.58310282,117.6844309,1.180413852,138.9163323
134,0.905,1.1,21.27205082,0.173705317,-18.76811356,122.4605621,1.133414435,138.7985688
135,0.94,1.5,26.73725662,0.220369609,-23.49182141,121.3291464,1.138151706,138.090975
136,0.94,3.7,26.35091164,0.230845598,-21.79025529,114.149509,1.209297977,138.0407704
137,0.94,3.1,26.29309627,0.230281292,-21.79025529,114.1781689,1.20664471,137.7724835
138,0.93,1.3,23.95467355,0.207959541,-20.08873474,115.1891058,1.192443121,137.3564568
139,1.005,3.5,31.84920704,0.284615652,-25.96348273,111.9025142,1.226692404,137.2699641
140,0.92,4.7,23.95416308,0.210583292,-20.06892675,113.7514893,1.193594624,135.773166
141,1.01,4.5,31.62405342,0.283700647,-25.96348273,111.4697965,1.218020469,135.7724938
142,0.925,4.5,24.16311902,0.214626174,-20.06892685,112.5823501,1.204006532,135.549885
143,0.92,4.9,23.92122555,0.210576809,-20.06892675,113.5985754,1.191953404,135.4042086
144,1.005,3.1,31.55673214,0.283704761,-25.96348273,111.2308866,1.215427548,135.1930838
145,1.005,3.7,31.61663758,0.284881353,-25.96348273,110.9817727,1.217734843,135.1463716
146,0.94,2.7,26.03685001,0.230582263,-21.79025529,112.9178355,1.194885038,134.9238321
147,0.94,1.7,26.61522076,0.225807598,-23.26820369,117.8668078,1.143845099,134.8213704
148,1.01,3.9,31.4489073,0.283189585,-25.96348273,111.0524856,1.211274606,134.5150557
149,0.925,3.9,23.99790084,0.213948128,-20.06892685,112.166912,1.195773995,134.1262765
150,0.94,3.3,25.95031508,0.230790082,-21.79025529,112.4412058,1.19091377,133.9077804
151,0.935,1.9,25.3001155,0.226871389,-21.17443572,111.5174357,1.19484249,133.2457705
152,1.01,4.1,31.28492635,0.28331869,-25.96348273,110.4230941,1.204958775,133.0552763
153,1.005,0.9,28.57035602,0.246526413,-24.90824784,115.8916634,1.147023918,132.9305097
154,0.925,4.1,23.84321493,0.214117319,-20.06892685,111.3558447,1.188066263,132.2981223
155,1.005,3.3,31.19968651,0.284076961,-25.96348273,109.8282887,1.201675709,131.9779867
156,0.94,2.1,25.67607241,0.229264368,-21.79025529,111.9932968,1.178328206,131.9648605
157,1.01,4.3,31.12075729,0.283457228,-25.96348273,109.7899583,1.1986357,131.5981635
158,0.94,2.5,25.73574094,0.231040697,-21.79025529,111.3905095,1.181066518,131.5596012
159,0.945,1.1,24.12262021,0.209829967,-21.14616649,114.962703,1.140756185,131.1444145
160,0.925,4.3,23.68835158,0.214298933,-20.06892685,110.538822,1.18034969,130.4744642
161,1.015,0.1,19.70326528,0.153714945,-19.44106146,128.1805443,1.013487114,129.90933
162,1,0.5,22.73125006,0.200830491,-19.8245369,113.1862492,1.146621996,129.781843
163,0.905,1.5,22.16039708,0.181451629,-20.98038741,122.1283999,1.056243464,128.9973242
164,1,1.1,28.31394421,0.253946266,-24.57029152,111.4958083,1.152365009,128.4838681
165,0.94,2.9,25.34523876,0.23137619,-21.93448552,109.5412573,1.155497299,126.5746269
166,0.945,4.5,25.87820169,0.233575146,-22.71813503,110.7917609,1.139098859,126.2027684
167,0.94,0.1,13.18584692,0.123717974,-11.15515039,106.579881,1.182041161,125.9818063
168,0.94,1.3,24.11848302,0.216079643,-21.53842814,111.618488,1.119788448,124.9890935
169,0.945,3.9,25.71070134,0.232952708,-22.71813503,110.3687593,1.131725879,124.9071811
170,0.93,0.7,21.5609988,0.181167913,-20.56459684,119.0111344,1.048452297,124.7774973
171,0.94,2.3,25.04837839,0.230939387,-21.79025529,108.4629985,1.149522025,124.6806057
172,0.995,4.7,28.73119849,0.275287762,-24.06929788,104.3678742,1.193686606,124.5825335
173,0.995,4.9,28.69699159,0.275283006,-24.06929788,104.2454164,1.192265422,124.2882054
174,0.915,2.7,24.61122703,0.205403326,-23.78675099,119.8190285,1.034661146,123.9720934
175,1.015,4.7,30.20118027,0.284147061,-25.96348273,106.2871465,1.163217608,123.6350803
176,1.035,0.1,19.62637767,0.155498884,-20.03694465,126.2155528,0.979509502,123.6293332
177,0.98,0.9,25.84765949,0.234245221,-23.08790823,110.3444477,1.119532321,123.5341757
178,1.01,3.5,30.22667772,0.285124322,-25.96348273,106.0122739,1.164199658,123.419453
