Year,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
2019,1.045,4.9,12.470628259220629,0.37721727805199323,-84.6767576017809,33.05953620051772,0.14727333228638348,4.8687880600925695
2019,0.925,3.6,22.4522596558675,0.3137324742293165,-73.41518788111702,71.56498450159313,0.3058258148467179,21.886419699692457
2019,0.94,0.2,34.50972224105491,0.2158561345099239,-28.645754404736767,159.8737155161478,1.204706350318653,192.60088033134102
2019,0.94,0.3,42.825840016606676,0.24478622514948578,-31.517512471694687,174.9520014471968,1.3587950525939443,237.7239140078596
2019,0.94,0.4,44.34542400204633,0.26611330852262277,-36.328618162604656,166.64113586892046,1.220674670408848,203.41461360335055
2019,0.94,0.5,50.51244666934676,0.28300069937442934,-41.69424881295697,178.48876974864052,1.2114967437343405,216.23856334362645
2019,0.94,0.6,54.67737406508542,0.29843444452496853,-50.70449241219481,183.21401925343383,1.0783536421308322,197.56950495136877
2019,0.94,0.7,50.95328698112949,0.3108541051098592,-57.09275905592759,163.91383013302024,0.8924649609456792,146.2873500081226
2019,0.94,0.8,55.480360107620385,0.32020895716716935,-60.26470467831568,173.26298614019134,0.9206111670797453,159.5078398822433
2019,0.94,0.9,51.75472371655418,0.32912964617805995,-64.26340485565692,157.2472255767405,0.8053529661679352,126.63951953990636
2019,0.94,1.0,46.53313135173771,0.3365136114408047,-66.10292990841324,138.28008665831706,0.7039496042945474,97.34221228493803
2019,1.045,0.3,35.876774806792675,0.3289170902809221,-54.14002257854028,109.07543532064867,0.6626664175240538,72.28062796381089
2019,0.94,1.1,46.66184332027194,0.3407377174936016,-68.38352562507261,136.94358130795473,0.6823550393716981,93.44414281509079
2019,0.94,1.2,45.56808262513839,0.34280111546130065,-70.55763063848465,132.92862995448053,0.6458278461562161,85.84901077599883
2019,0.94,1.3,43.32117816496157,0.3445471999097821,-69.42252880367337,125.7336532594228,0.6240218976677396,78.4605529076426
2019,0.94,1.4,42.38972981247129,0.3414676562765772,-69.40770306946536,124.13980953480714,0.6107352345322009,75.8165556910232
2019,0.94,1.5,38.85107994612582,0.33610297329159405,-69.27989586012193,115.59278861963429,0.5607843294765809,64.82262445838977
2019,0.94,1.6,36.456221922887266,0.33725385705941485,-69.54843065499428,108.09727200974513,0.5241846807979605,56.66293402355856
2019,0.94,1.7,33.79728054869216,0.33689209715707497,-70.19648899790005,100.32078767622225,0.48146682307292055,48.30113093064373
2019,0.94,1.8,30.554730476122405,0.3337776824206012,-70.77566239233452,91.54216140077233,0.4317123915668458,39.51988542752562
2019,0.94,1.9,29.925789843103278,0.3356150253307157,-70.48038375889554,89.16701453879887,0.42459743047761506,37.86008525653414
2019,0.94,2.0,30.55097478165747,0.33792940554333806,-70.91380697473886,90.40638157113389,0.43081842711589907,38.948735109715706
2019,0.94,2.1,30.014379990931637,0.3370688765145767,-71.34266007391024,89.04524292272845,0.42070732938521016,37.46198634447837
2019,0.94,0.1,14.33060811780238,0.16978833320720593,-32.233539741761355,84.40278461485114,0.4445868568147305,37.52436871832736
2019,0.935,4.9,26.489037681598514,0.3244915901394956,-71.9574561857174,81.63243204611605,0.3681208186853086,30.05059771608906
2019,0.935,4.8,26.282106298368866,0.3253112221544371,-71.87474368591182,80.7906537140357,0.3656653916321433,29.542346030559735
2019,0.935,3.7,25.831109797855987,0.3254470751189029,-70.9649061880501,79.37115363048977,0.3639983646199159,28.89097011949438
2019,0.935,2.9,25.82047186856449,0.3367388102736428,-70.30362678736151,76.6780397174359,0.3672708372024733,28.161607842067177
2019,0.935,3.0,25.78749247267926,0.33557805555026865,-70.38687898606251,76.8449904460942,0.366367891916127,28.153537154050454
2019,0.935,3.1,26.174910145955256,0.3255776651861114,-70.46863118921644,80.39528795991818,0.3714405928458095,29.86207342184158
2019,0.935,3.2,26.40203216204158,0.3250339650221099,-70.55134368902205,81.22853302498902,0.37422437024611616,30.397696617292365
2019,0.935,3.3,26.070345868443347,0.3257526766019668,-70.63405618882767,80.03110255421903,0.3690903124513886,29.53870464756583
2019,1.045,0.5,41.0143710617453,0.3819884076523842,-72.10612653360603,107.37072183370827,0.5688056346034619,61.07307157045422
2019,0.935,3.4,25.738524183615596,0.3264891665223064,-70.71676868863327,78.83423654688734,0.36396635000310334,28.69300933125184
2019,0.935,3.5,25.748055777932557,0.32536015579131006,-70.79948118843889,79.1370895287119,0.3636757691684477,28.780241904106607
2019,0.935,3.6,26.115500764085,0.3247656741053438,-70.88219368824448,80.41336522410293,0.368435278385242,29.627120602236502
2019,0.935,3.8,25.52824235811759,0.32569428273917594,-71.04761868785572,78.38099626256331,0.3593117240181503,28.16321089736182
2019,0.935,4.7,26.418117421606958,0.32491126115768887,-71.79203118610623,81.30871588592147,0.36798119492013487,29.920078429123137
2019,0.935,3.9,25.236368647566863,0.3261487264642182,-71.13033118766133,77.37687318652016,0.3547905404937087,27.45258265955864
2019,0.935,4.0,25.88543825802667,0.3255561318509424,-71.21304368746695,79.51144434250268,0.3634929349689114,28.901848267673547
2019,0.935,4.1,25.68400768943906,0.3260931848131259,-71.29575618727256,78.76278587103188,0.3602459537980757,28.373974919903482
2019,0.935,4.2,25.482245812393,0.32664115067025545,-71.37846868707815,78.01296854393387,0.3570018561774795,27.85077457609971
2019,0.935,4.3,25.986770535031646,0.3256980601693308,-71.46118118688376,79.78791928180688,0.3636487685121184,29.01477858897338
2019,0.935,4.4,25.810297977171516,0.32620171035158446,-71.5438936866894,79.12373589136868,0.3607617176974178,28.544814870806995
